,token0,token1,reserveUSD,pairAddress,aprs
0,USDC,WETH,275861787.9978374,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0.008463724495608602
1,WISE,WETH,228734302.7492792,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,2.4120264512170525e-05
2,FEI,TRIBE,173903306.0341324,0x9928e4046d7c6513326ccea028cd3e7a91c7590a,0.0
3,WETH,USDT,141046605.4620006,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0.00858151891370203
4,FXS,FRAX,137591753.78526223,0xe1573b9d29e2183b1af0e743dc2754979a40d237,0.0
5,DAI,USDC,94583260.27551712,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,0.00029665468404155136
6,TOKE,WETH,72525115.3251477,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,0.000723552002685026
7,MC,WETH,52781178.118850976,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,0.0018325138436383996
8,HANU,MIA,44980101.722637035,0x48918f57fa7210ea7b20f23da8420e68df3578fe,0.0
9,UNI,WETH,35055809.7240971,0xd3d2e2692501a5c9ca623199d38826e513033a17,0.002576002108059162
10,USDC,USDT,33433420.971129123,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0.0024166146555044217
11,WBTC,WETH,30883580.093169585,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0.001115758521388015
12,FNK,USDT,29783537.976215366,0x61b62c5d56ccd158a38367ef2f539668a06356ab,2.8411525302041955e-06
13,PAXG,WETH,29439810.172829088,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,0.0034969548803911923
14,WETH,FOX,26460608.418519933,0x470e8de2ebaef52014a47cb5e6af86884947f08c,0.006202688133596688
15,ELON,WETH,24662820.587199494,0x7b73644935b8e68019ac6356c40661e1bc315860,0.007362885438548207
16,DAI,WETH,24388495.7417372,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0.007674769377456434
17,XXi,WETH,22782109.03689841,0x0af81cd5d9c124b4859d65697a4cd10ee223746a,2.940868167846171e-06
18,ASTO,USDC,19959797.167707294,0x11181bd3baf5ce2a478e98361985d42625de35d1,0.013529716259694093
19,WETH,SUPER,19055416.374038126,0x25647e01bd0967c1b9599fa3521939871d1d0888,0.005654822333800641
20,FRAX,AMP,18866439.6255056,0xab400c46c830a2f87939dcfdcbfaaadf76f35721,0.0
21,WAXE,WETH,15333970.160328936,0x0ee0cb563a52ae1170ac34fbb94c50e89adde4bd,0.0018828523223296755
22,SHINJA,WETH,15119978.981903529,0x63b61e73d3fa1fb96d51ce457cabe89fffa7a1f1,0.002620315757204846
23,SYN,FRAX,14862092.195814095,0x9fae36a18ef8ac2b43186ade5e2b07403dc742b1,0.0
24,FLX,WETH,14525828.603479853,0xd6f3768e62ef92a9798e5a8cedd2b78907cecef9,0.001213848879444063
25,XMON,WETH,13293925.115484867,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9,0.014044802792881356
26,UFO,WETH,12396480.50626848,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8,0.005437180235062163
27,WETH,RLY,12018150.956521332,0x27fd0857f0ef224097001e87e61026e39e1b04d1,0.001535489196771725
28,WETH,BTT,12015385.36001578,0x2d0ba902badaa82592f0e1c04c71d66cea21d921,0.0005763876669724455
29,BOND,USDC,11943146.55421329,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,0.009500855408642891
30,TERA,WETH,11883431.575218031,0x2b788a7b1a0ee0da8cb1d2769825198d9c95d19d,0.0065567747879377355
31,10SET,WETH,11724878.561295377,0x5f6fbe81171d0f52cc58d6a2ac6ee1a9e52d18d2,0.004343123494829231
32,SAITAMA,WETH,11043780.621617364,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,0.030030814204319422
33,STARL,WETH,9600033.850400431,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e,0.009018294614640888
34,WETH,CULT,9564417.348043583,0x5281e311734869c64ca60ef047fd87759397efe6,0.2101380700668673
35,HIGH,WETH,8872997.732643532,0x3854612b93b140726167cca5418b01e832515d42,0.01054339382475671
36,USDC,CAW,8564220.90589615,0x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e,0.04524126432348356
37,MIR,UST,8517894.426714102,0x87da823b6fc8eb8575a235a824690fda94674c88,0.0
38,⚗️,WETH,8454287.852569886,0xcd6bcca48069f8588780dfa274960f15685aee0e,0.0007945647249311037
39,SAND,WETH,8262689.7158711795,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74,0.007200361354288568
40,WILD,WETH,8225287.582029593,0xcaa004418eb42cdf00cb057b7c9e28f0ffd840a5,0.0074865116397364075
41,LFT,WETH,8215588.957202394,0x9c84f58bb51fabd18698efe95f5bab4f33e96e8f,0.06274447227008437
42,WOO,WETH,7730663.47174619,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a,0.008016911772681986
43,RAI,WETH,7540051.34605406,0x8ae720a71622e824f576b4a8c03031066548a3b1,0.0014401814137687961
44,BigSB,USDC,7507664.216577042,0x149148acc3b06b8cc73af3a10e84189243a35925,0.0005278470996034953
45,MKR,WETH,7190144.098049832,0xc2adda861f89bbb333c90c492cb837741916a225,0.0040211351771142585
46,ERN,WETH,7189907.82567876,0x570febdf89c07f256c75686caca215289bb11cfc,0.005357905898387581
47,ShibDoge,WETH,7105454.215103843,0x3016a43b482d0480460f6625115bd372fe90c6bf,0.0026358569247034143
48,SHIB,WETH,6975480.404150611,0x811beed0119b4afce20d2583eb608c6f7af1954f,0.026194651451843572
49,PNK,WETH,6924366.803302392,0x343fd171caf4f0287ae6b87d75a8964dc44516ab,0.0013586437881086273
50,AUDIO,WETH,6901257.1667102985,0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79,0.013508816429666835
51,DAI,USDT,6780371.038323961,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0.0005240834882830292
52,WETH,AMPL,6547348.890515603,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0.004521935464276422
53,X2Y2,WETH,6118993.075564032,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,0.025550918612899383
54,KUMA,WETH,5901614.722448997,0xdf60e6416fcf8c955fddf01148753a911f7a5905,0.012517807060679339
55,LINK,WETH,5875482.96830616,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,0.0033724644800112746
56,POLS,WETH,5874934.455308746,0xffa98a091331df4600f87c9164cd27e8a5cd2405,0.004846471635361847
57,WETH,VEMP,5866268.320043808,0x05be6820730b30086d6355c44c424230aaff41fb,0.017551766855332555
58,USDC,UNIX,5840800.577973356,0xccab68f48531215b0707e8d908c43e7de73dbdbc,0.0010121261534918786
59,QOM,WETH,5831103.28408284,0x8ef79d6c328c25da633559c20c75f638a4863462,0.0434963354928217
60,UST,USDT,5758446.750411191,0xc50ef7861153c51d383d9a7d48e6c9467fb90c38,0.002698494704185976
61,RAD,USDC,5722403.20434286,0x8c1c499b1796d7f3c2521ac37186b52de024e58c,0.011172776873860922
62,WETH,FLOKI,5589483.186668315,0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,0.00928603097600139
63,FEI,FOX,5329661.638018336,0xbeddb932490e776301c776526615965fae2440de,0.0
64,MINDS,WETH,5153328.170300667,0x8ff2fd6f94cdce7c56bb11328eb9928c9483aa66,0.000522303065956864
65,RACA,USDT,5131548.978686576,0x700fc86c46299cf2a8fd86edadae3f57014351b0,0.007844097222601902
66,DG,USDC,5003900.983826925,0x873056a02255872514f05249d93228d788fe4fb4,0.000306393777810485
67,PERP,WETH,4974550.125262488,0xf66369997ae562bc9eec2ab9541581252f9ca383,0.0031127487806152238
68,LON,WETH,4841068.987532099,0x7924a818013f39cf800f5589ff1f1f0def54f31f,0.0019654280935608214
69,WETH,PEEPS,4758018.811615651,0x6cbcd84abcfbb411426dc21a621fe9a68b985bf4,9.851879710977426e-05
70,WHALE,WETH,4662881.633789777,0x4fda00d490c1c05ff15d7313d1cebe9c711e434b,0.0006268498842603074
