,token0,token1,pairAddress,reserveUSD,dailyVolumeUSD,aprs,apys
0,USDC,WETH,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,276570209.35625905,5388212.261197689,0.0026843802333744943,0.0026875278669240554
1,WISE,WETH,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,226403555.57337257,1510.1806561504338,4.6109892183910675e-06,4.610998098009134e-06
2,FEI,TRIBE,0x9928e4046d7c6513326ccea028cd3e7a91c7590a,166147124.96505705,0.0,0.0,0.0
3,FXS,FRAX,0xe1573b9d29e2183b1af0e743dc2754979a40d237,144611443.10283315,0.0,0.0,0.0
4,WETH,USDT,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,141028503.3119488,2813385.943447104,0.0022066225136597663,0.0022087843162699183
5,DAI,USDC,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,86052284.09725684,23261.23622401195,4.756164682265653e-05,4.756260036953286e-05
6,MC,WETH,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,52352547.93678705,226871.4966634252,0.0006149904751329776,0.0006151191496439612
7,TOKE,WETH,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,38548658.98160467,301132.9195390646,0.0005618704163611083,0.0005620037813309775
8,M2,wPE,0x9816f26f43c4c02df0daae1a0ba6a4dcd30b8ab7,36570824.38820789,0.0,0.0,0.0
9,UNI,WETH,0xd3d2e2692501a5c9ca623199d38826e513033a17,34777398.60523254,263147.7767280991,0.0007059495649803777,0.0007061443054849903
