date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,12282317.491749274594372844,4051.850292601721921348,135484.913777099228371537,24565514.71485131393046273313979047,136940.068216753682274903,44.952473206058464573,136967.4901738767112841097142777411,33
1650067200,12356128.025953162061477979,4027.511643745954611979,135484.913777099228371537,24712566.5528526567777209761580659,635547.746315006972804713,209.107179820357992482,635154.5994697135374508481279937807,270
1649980800,12294030.49381059757052814,4047.858928840316793817,135495.497608664828957292,24554415.13509964956749674310287023,908366.490334101029444561,299.43778996817236867,906463.6003425132709598210708462868,231
1649894400,12272902.693857323521520594,4063.934348414725590831,135662.614411591051953863,24563819.69278535660828328770513945,1192243.613070277820635296,389.652265203405800801,1190700.601092826679042812610734511,256
1649808000,12480345.158352532969544491,4000.436271372440304773,135751.010352400999137361,24961024.61733901860556276515364379,967527.741263741128096023,315.915501062121486885,967510.6217670615338932279179422883,227
1649721600,12502015.859931421295116704,4135.515357334465692145,138159.664983378338192449,25024082.59299641344047582807501433,1570071.318422079160271785,520.483936213033032713,1568696.824600523307601796357695662,331
1649635200,12441199.828202898488028675,4156.569963610641666011,138199.689709624038658689,24875143.7034003277524724195375299,2127517.500771649980709135,698.203780328063471618,2130322.042077797844970436354302371,379
1649548800,12877176.790429143135382484,4013.754887167402782826,138198.917134308094431973,25770462.70842180929780260920275174,944814.469873482170424833,290.267809496760635439,944464.1767654075625339136963829424,279
1649462400,13525108.840448444909669927,4157.242025152566098889,144157.890884480924389677,27085513.33004138151385103916323117,679897.699355212928240314,211.338636558216729208,679814.396144069427840814949161317,254
1649376000,13379540.304202848569959012,4201.915492267354219165,144159.279104338058070311,26722760.69415665219444575825038981,1607992.780028201531528404,493.337226520745313682,1607069.892562024511348499198257106,278
1649289600,13509033.510904931740898469,4162.443610169668555046,144198.969443432092557234,26958506.74583669331201896488562763,1537596.737351519177246729,478.405975782378176504,1537181.441146705542763398501170375,294
1649203200,13361637.12440757562241283,4206.915596169829438398,144198.969443432092557234,26677593.91764274200382918379841555,6222940.63407187846953704,1776.165932342559388584,5904856.9523626495380646959771101,387
1649116800,13796041.81687010022426279,4046.973157850457164377,143805.696588916448867181,27659230.63243195502414725493670824,3239343.618615623223403351,964.474774111731630621,3330605.571070795607027800731366821,306
1649030400,14036173.220127846455946411,3973.818029052186886551,143785.216839495863747391,28029663.90015767319884770234490261,12075762.988823746719266516,3173.283265262990837184,11129744.57975741416274519354199861,351
1648944000,13977094.848029257443190591,3966.607801313741846063,143522.25731883199398835,27957996.32446596212759996892799351,2348059.829508950888735685,673.816624483697231305,2349522.429857522372139677477588123,347
1648857600,13835829.320853296961483605,4005.075920417330917394,143522.257318814112825787,27629237.31031574907011899227358807,2328584.123212158942137777,669.40474265577555399,2327606.655247222142230245419312787,375
1648771200,13834254.152881119345316827,4009.450001094623531295,143628.586453558373340536,27650068.63701689416323457972194217,1791729.44638526141719235,531.742559138051084439,1790544.40590690646478907307370111,348
1648684800,13476323.658727743610878129,4114.321436981869972786,143628.586453558373340536,26964295.72030952519981131937616962,1912509.002676780249698885,574.22783843995017535,1915302.974985620008810183063293924,384
1648598400,13772824.480592699645713472,4069.547575212549598262,144438.180186971590778348,27544313.53777003309392528005867844,2587787.422292913030635015,768.433605214245063879,2609355.024153679725926645334030858,369
1648512000,13788609.325895532444743641,4063.550624436257642422,144455.111307900759882109,27599159.52864361495908927865932095,2027555.036248569955476595,594.369838446564905657,2027472.645201092968388482985409286,502
1648425600,13775772.325365049235999814,4136.148710890354087581,145703.911517602020448318,27546140.87983265251568659129936109,2268464.701603056384365095,675.515245498316484419,2270005.587604414503958445602651967,498
1648339200,13702543.809824308779873633,4157.645848778491548168,145729.210796834546465733,27356566.97361580537719897567567634,1077863.099489361361435892,336.524786195597495564,1076931.533423791561658646477466631,354
1648252800,13489047.739681945629216879,4293.631838955275312269,146952.649692189321882488,26984907.65876619673641903398373284,638049.425338108477645671,204.2179453223221553,637994.7121383175973733063500111754,269
1648166400,13548068.502470846642184761,4368.168734307290926694,148557.116629905261094147,27095094.80919007644485003611969624,8187812.829356860925998406,2276.244690233484305185,7289666.712390519803482562845559437,350
1648080000,13423060.431749348044573622,4310.779551787434418139,147013.106217712095967044,26828559.10346219148072305641488259,2119003.501372914718511618,730.333126638749774602,2190566.522431389838077809485441758,308
1647993600,13237744.34721322883028552,4369.247586956355825444,147017.466746057969818196,26462575.11247360586711841190222687,2604271.182305024439367034,902.333069959847963902,2665380.823125334614036337871054472,306
1647907200,13060138.806618164879915874,4403.680884508014977917,146646.135945097367078339,26130327.99856654565999818515996572,1804310.898970009167280727,602.173808688711216599,1802828.896639776809179434297651976,365
1647820800,12919807.695878458976882913,4450.118994583131542161,146653.442291000118385468,25788086.82861989708037541862955699,1443252.543883712398619483,497.258355980972763106,1442326.799316242302826981719193025,413
1647734400,12807057.095444421558797687,4477.449196175921746156,146484.389827770505914755,25619471.76316167413758860972403157,1609670.096207030654035477,557.743487128988077166,1608269.509623917264854892109396681,377
1647648000,12981894.699296051414754162,4405.20485640315051078,146313.735450057032575382,25957974.74289907381135344047422846,1495778.272457338668914285,504.78782441950028468,1491185.286928306768390600563978583,442
1647561600,12914828.622641209872646642,4385.794670275097998417,145638.643577207857883485,25841832.41592260482696344662611425,3017670.919976636348593935,1039.012808621510620679,2996456.869729392757314795814730894,896
1647475200,12949457.417471228035191645,4594.560624496488777163,149315.975918806250784179,25879738.96666921500129555205755452,1253241.852659964650474688,446.497934549454405179,1251844.976105874281820287678872455,265
1647388800,12840664.637920348138197146,4632.352255081620121452,149319.409991330517998878,25658914.70136449525326858113951328,2480474.567646515243619324,921.905177047180341739,2479122.296804827919433818333182835,388
1647302400,12496715.753617240559368892,4760.977971454901662095,149381.06778781242237702,24948939.34882964566172005162022285,1814197.437252193895387848,702.295337126205880609,1813648.646333078418737622967454735,674
1647216000,12446263.555242861001416225,4823.869969676129894274,150093.61045610628264109,24971353.12048935420644818500477216,1370891.791119767375133989,534.48733980910870799,1369278.658423161645150786728872496,343
1647129600,12330352.062609646999355505,4889.804572161452806019,150435.513947819970617182,24597686.82740395583291196808972976,1103349.360679550418702249,431.194845948666234398,1104043.754884018182797933766736022,281
1647043200,12460035.069455766548820902,4837.84763996424284027,150439.030437464557562456,24867017.5211727299144418525804073,691877.561081779039166978,266.938195985912044417,690742.0648513646298033819716681468,295
1646956800,12443069.15570025997388857,4852.880684724742917185,150582.470759298545308692,24889909.27377428836942673316632731,1668769.348385568765042912,644.131453750245602282,1668435.824689747283839681847565843,360
1646870400,12536066.249326508326194579,4812.091860715340349754,150537.769430287824691424,25123725.05440989161998498605601519,1563002.432024517955678708,597.48864953573048051,1563082.403022459700713053881372866,352
1646784000,12814910.102361270032208303,4705.691637008805246474,150538.825074712765018286,25665936.13528468477632398705184581,3420888.853464388184301742,1310.11532002526635214,3452617.631860051136817297480572993,334
1646697600,12459171.275813746293954094,4837.734828425692742292,150564.282411592810761372,24954994.92512041155896540034250269,2558977.816521576340974971,998.974429881948974933,2558318.964502394752895733512005803,380
1646611200,12384154.640874997384914864,4961.792433259994081418,152069.651393718277223776,24796703.3363704183514373699385568,2591504.855998927476906398,1021.992808585542832748,2592724.217502712983327794363038211,430
1646524800,12573863.475626123521511415,4912.015501247316620875,152506.865473474025762449,25076905.8575643461905039619999014,1547459.175965246323297825,599.80201912210581582,1562107.852772746573532453656970035,328
1646438400,12830597.808330388877785094,4812.748598799536455338,152519.420118101451383918,25643972.93628963550964309706676583,877194.326967923043602368,331.881180635462292026,877311.1651390182679943150505070875,270
1646352000,12724262.400002839781142134,4856.486951606253638722,152590.430344671395110363,25416216.81929176662280796921334186,2449070.457829500828576298,914.44195760102127872,2454028.415023770206372292607754425,361
1646265600,13237263.021412118453952484,4665.999180639516083151,152596.762763480501303948,26496365.35705670445817482717736097,1714210.473357501024959819,596.801353813766170713,1715433.051554614089378752837638783,291
1646179200,13518057.361806300587869783,4571.614066963252873815,152668.591595646438083631,27025014.55102203525934629122679026,2862581.833269598761919286,959.903297207654030912,2853035.194714651683846660567075499,339
1646092800,13555684.451202541636661539,4570.373253612487759021,152908.570114126552249417,27118951.36768622105697073187872541,2708562.777650720659496378,920.946657009424516194,2708060.337385103012890593863610109,380
1646006400,13444847.175480616937336268,4605.634331835919662757,152914.529404174933564451,26847948.0983488711261458045529148,3330739.111128919730389845,1232.998638291137048152,3331317.553293576114822545348129717,310
1645920000,12743311.638743499458609397,4856.724302872021730184,152934.941392174102249198,25458168.83509854500237450112122922,3062077.757573640745607322,1131.98758797193152617,3063081.494846552193986864962148959,336
1645833600,15483251.647017701318644854,5577.318989688809233575,180711.371349412269986422,30953668.39568646425125222010776497,1927686.757971286905467515,689.743995142206396974,1928156.491992137319536344748720479,277
1645747200,15475202.711094291362063854,5587.828027899333427642,180868.208114153100183762,30923802.84871328183089053571936944,3330056.949720569216191163,1243.657837624201837617,3329608.119242288857560059883576344,339
1645660800,14966873.510515246101042519,5773.816045219721386691,180868.208114153100183762,29980497.4640331771708276260889129,9975535.120198762142447556,4053.345890077730680904,9942121.136630711437496831333085028,775
1645574400,14934871.916221699357156999,5774.32514591299284372,180868.205111779507875434,29914281.28887899098168793220695016,2037323.625083015492168258,765.978184646683893071,2037350.849724478809327255455284142,312
1645488000,15096427.306181836485075023,5710.223821015312920547,180868.205111779507875434,30230482.37839027356262456378630416,5832433.180129944478659824,2307.271150548405266271,5918885.227133771044933108996552111,410
1645401600,14867122.154971137876969419,5790.326065800658331952,180850.482805907678748331,29737739.21181348235898173561037292,4319174.576132439473321543,1628.441761273201316408,4322339.313558616849804854704653885,368
1645315200,15047795.579289891790806991,5716.914337357368143077,180866.566197524629564392,30133093.90467076932752930766254449,2952996.504434113518095687,1113.410586045004739501,2952045.34722018513460037549455814,436
1645228800,14885759.773147461355260444,5399.21935363231356412,174872.563384053824754803,29779622.95685519750231086743167407,3284728.080472489411814714,1224.534985950654680996,3363108.442183630440994599293699353,321
1645142400,14947891.017314892691706574,5373.202821932366302193,174872.562221513116113555,29892704.76837911311368714648997896,4155264.978279979979675213,1439.545342849519110293,4122251.495082498745475468833358518,351
1645056000,15287806.205250923875887349,5291.081965776099863909,175564.635352515658483155,30540805.68826094608515305582606872,2854423.534900844687063177,949.945923242867685648,2852582.561832704669577883847051911,323
1644969600,15909920.061115725725763959,5080.490221282676729023,175549.000967667083580748,31843243.76268783965948672692799788,7685910.823263190155855848,2754.869957690581303561,8566282.657051858117770646229919974,319
1644883200,15899472.840796216739102981,4983.820969965725832604,173942.080031922347108191,31748308.15487688819709210997870458,1977814.680330395400859299,644.12895910283711809,1975776.738492686431481839392111193,280
1644796800,15258185.050004025532017015,5190.500840206084358985,173928.524101221036429355,30470243.63413315720952733796881684,3204901.600098035121464221,1120.7600519307268518,3234335.900717484799097628619171656,305
1644710400,15122255.739177897825022729,5242.664936079641720711,174075.333735315798981364,30224005.70720219179565886246149195,1610423.309399827147050003,555.323563394457102743,1610691.883919804100179070615833142,323
1644624000,15196311.831391088366595587,5215.461991939132352109,174075.491800779935486394,30374957.70036821545124900507551932,2524543.354783466913880423,862.613040386803477554,2522984.277614241315619622991344108,415
1644537600,15220030.437961505769138208,5206.478939490632643465,174104.508379730301106867,30489095.86918345652546536496209417,4913587.862177785007845847,1637.086433367764778472,4948954.744585063965660872132562761,458
1644451200,15615728.967691105721061549,5072.77432664368727674,174157.130040187938745287,31144753.7988516585800078574030213,5069197.223240314031456789,1625.701749857222893558,5137271.002038724105477961509278255,392
1644364800,16032798.867048707494997974,4937.010711149211661588,174173.854476115791387878,32018618.55127103649121848720257132,3456603.880295849454880999,1090.072336480638263021,3430985.44168769346451184625483321,438
1644278400,15716535.065449351475300093,5034.934428301997179595,174206.129854941284771304,31452706.22927931925213145504718592,2874790.765416020240701896,927.696572679946202102,2878467.151381785493786762759114599,483
1644192000,15783767.803824329233157277,5011.102103463466957943,174212.697228171698703202,31537101.96128483858863115324385416,3667200.644552927258488983,1174.741007231529096545,3671903.802078998339829040810026214,587
