,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619308800,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,267186873.29029623,55406.17138609232,3818617.036434861,255929296.29359928,554696.3262184442,114.97170560411728,262191.2099373228,84,0.4789331398319375,2314.544734000812,265662.45316904015,266107.15576510126,7.8657362981196846,3.9073291509886816e-09,3.073402073163284e-08,1.0,0.0,0.0,0.00026027397260275364,3.0734020661782324e-08,0.0002603047066234853,0.00026030470662341543
363,1619395200,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,267120409.93467888,55419.07088268267,3818566.4069071887,279581071.5229722,936058.5060083016,194.05999574066587,482302.92448205495,130,0.5233240537316867,2531.474976974758,489861.9318942908,491258.0232493238,14.469087734461649,3.576780053644774e-09,8.248676513469151e-08,0.9990512046350695,-1.126334275847185e-07,0.0,0.0005206834302871055,8.248676652833353e-08,0.0005207659170522402,0.0005207659170536338
362,1619481600,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,266447054.592255,55559.92072071773,3818566.4069071887,293115596.4853605,1273042.5290887204,265.0755798339522,688578.4146257358,124,0.5500447301508296,2657.7895711536407,700230.3343831348,704515.1116501824,20.657352438772076,3.4116233049030007e-09,1.5296187013240117e-07,1.0001568298850854,-3.0739696343928813e-09,0.0,0.0007812284435796402,1.529618773865593e-07,0.0007813814054497725,0.0007813814054570267
361,1619568000,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,266333137.00575984,55584.02036485545,3818566.4069071887,304968367.93341386,534768.5167264448,111.55750079295568,301497.0844063739,78,0.5725317761094415,2743.605544510616,306171.968688803,306069.7777073006,9.044912532191217,3.279028598199856e-09,1.8262039699367244e-07,1.0084830737127903,-8.919532053508483e-06,0.0,0.0010419090830434685,1.8262040879513108e-07,0.0010420917034404621,0.0010420917034522637
360,1619654400,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,265941773.6903577,55666.94522165974,3818566.30635158,306390548.7756172,1798209.4841194672,375.7389180185032,1030301.328676545,110,0.5760481787497493,2757.8009255758457,1035855.2983375454,1036213.135886295,30.90903986029635,3.263808247337102e-09,2.8350157620697887e-07,1.009454119478371,-1.1067725805058437e-05,0.0,0.0013027254192784499,2.835016064128837e-07,0.0013030089208546569,0.0013030089208848628
359,1619740800,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,265584209.40207565,55742.28511087239,3818562.5345774926,308315730.3683511,799033.9884506782,167.7263277067557,463423.5382954724,98,0.5804481581613592,2771.787375074326,463797.8069045209,464901.7176051646,13.902706148864173,3.243428412832779e-09,3.285940083454699e-07,1.0120319302068286,-1.7880298223249547e-05,0.0,0.001563677522921414,3.2859405152407817e-07,0.0015640061169297594,0.001564006116972938
358,1619827200,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,266385132.30496404,55574.493706754365,3818533.190435151,327212387.4214844,1051902.27280635,219.5586997037267,627937.4995535953,118,0.6141716404932162,2942.415109937576,646048.5445280186,646032.8355264922,18.83812498660786,3.056119017621095e-09,3.861655603733653e-07,1.0087336455967342,-9.451886073597038e-06,0.0,0.0018247654646456057,3.8616562236803986e-07,0.001825151630205979,0.0018251516302679738
357,1619913600,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,267981494.89591512,55244.67719251578,3818533.190435151,325332302.2153322,2000936.9968909975,413.5546529021781,1215029.4690037123,122,0.6070051634380432,2947.0404169472176,1214579.0888270473,1218762.2767192968,36.45088407011137,3.0737802339040903e-09,4.982075673364031e-07,0.9953985028850862,-2.6589465409454505e-06,0.0,0.002085989315161463,4.982076726722795e-07,0.002086487522728799,0.002086487522834135
356,1620000000,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,268378835.56693316,55163.55579379434,3818533.9302154994,378566805.7317297,1049608.8497841775,215.7610104593516,690274.7735550496,134,0.7052843882641332,3425.722822756164,740272.7355366541,739137.4177915322,20.70824320665149,2.6415416905534163e-09,5.529092551048926e-07,0.9949533977616917,-3.1996563827352276e-06,0.0,0.002347349145215949,5.529093878298141e-07,0.0023479020544710538,0.0023479020546037788
355,1620086400,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,269012575.98395145,55034.09467465042,3818533.9302154994,356951184.1089124,802679.295996102,164.1919171829564,548450.968536498,110,0.6634470206519398,3244.9815821590846,532535.1874676105,532799.7471980832,16.45352905609494,2.801503523503879e-09,5.99003874729616e-07,0.9880631483606208,-1.802574241072108e-05,0.0,0.0026088450255929985,5.990040330416946e-07,0.002609444029467728,0.00260944402962604
