,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619654400,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,45055470.656468,45182505.86493,3.85431526051e-05,90284318.90396184,6798132.481897,6801326.11934,6798999.244040665,1088,0.9988601353271728,1.0020458012068765,6790383.530839686,6815240.280523306,20396.997732121996,1.1076120550499254e-08,0.0002259196057492431,1.0,0.0,4.1095890410958905e-05,0.00026027397260275364,1.1076120550499254e-08,0.0002259196057492431,0.00044509768794103783,0.00044509768794103783
363,1619740800,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,45819222.005007,45861541.603565,3.9148796745e-05,91626511.06654352,8232326.987446,8225002.036106,8227602.116585435,1042,1.0005560928180848,0.9977092845397612,8236904.925359844,8206160.896781396,24682.806349756305,1.0913871851714976e-08,0.0004953045911911801,1.0060517459052825,-4.550384544832475e-06,4.1095890410958905e-05,0.0005206834302871055,1.0916337509340912e-08,0.0004953654505408858,0.0009748921310673266,0.0009749529904170324
362,1619827200,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,46931780.71268,46875108.558198,4.00497070325e-05,93800607.03896157,5373364.25412,5371934.882103,5371225.144679164,813,0.9996221524605304,1.0002476588228542,5371333.941657906,5373265.28917235,16113.675434037492,1.0660911816750122e-08,0.0006670910640371866,1.0025619553287364,-8.183542939965704e-07,4.1095890410958905e-05,0.0007812284435796402,1.0666192864135402e-08,0.0006672370204704105,0.0014072236172058678,0.0014073695736390919
361,1619913600,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,47493310.374245,47591829.535323,4.05906303006e-05,95042007.0046352,3709668.171976,3714857.294575,3711291.421897644,788,0.9992444597323462,1.0000781875016864,3706865.368292439,3715147.7499859845,11133.874265692933,1.0521663330944074e-08,0.0007842379406298698,1.002352979863053,-6.904389737716343e-07,4.1095890410958905e-05,0.0010419090830434685,1.0528683774235405e-08,0.0007844620617959889,0.0017850511332623794,0.0017852752544284987
360,1620000000,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,51216177.8007,51173110.255239,4.37007188221e-05,102397162.81224775,5940324.205729,5940909.861796,5940086.933063231,914,1.0003495870485184,0.9998478690212012,5942400.866135323,5940006.065363769,17820.260799189695,9.765895582806028e-09,0.0009582687468531279,1.0036926959907155,-1.6982250892194628e-06,4.1095890410958905e-05,0.0013027254192784499,9.7735565573902e-09,0.0009586293885843129,0.0022198982757206187,0.002220258917451804
359,1620086400,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,51951544.343214,51911977.47218,4.43221922897e-05,103801720.90357313,5996196.586069,5993423.68268,5994214.496963072,965,0.9995923446590684,1.0002969612949475,5993752.204505413,5995203.497537977,17982.643490889215,9.633751649733752e-09,0.0011315090682500557,1.002482647229827,-7.685332731321992e-07,4.1095890410958905e-05,0.001563677522921414,9.642986847187509e-09,0.0011320357832446195,0.002654090700760511,0.002654617415755074
358,1620172800,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,50718989.692257,50662932.387891,4.32558461946e-05,101455562.85943437,6655216.988454,6658545.217605,6656514.719801125,945,0.999637439276014,1.0009129768639706,6652804.068164382,6664624.315336376,19969.544159403376,9.856531981252616e-09,0.0013283395189082514,1.0019108627747004,-4.5555375527417397e-07,4.1095890410958905e-05,0.0018247654646456057,9.867689928154091e-09,0.0013290890530161927,0.003112009093142898,0.003112758627250839
357,1620259200,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,40434591.598733,40411768.38448,3.44912284408e-05,80857947.9416914,2429310.980481,2425878.661812,2427369.2375291656,568,0.9996250337056206,1.0006677408828908,2428400.070744754,2427498.5201714244,7282.107712587497,1.236736802572734e-08,0.0014184000249928084,1.0021439665796523,-5.733443614319711e-07,4.1095890410958905e-05,0.002085989315161463,1.2383805359184958e-08,0.0014192692575334957,0.003463293449743312,0.0034641626822839995
356,1620345600,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,39344524.781595,39373782.865952,3.3580434013e-05,78700634.26573482,2286364.493072,2287769.474469,2286682.530773872,500,1.0006132837416306,0.9989903000199484,2287766.6832430423,2285459.5136762657,6860.047592321616,1.270637790063385e-08,0.0015055663821171802,1.0048191067718297,-2.8890385942448304e-06,4.1095890410958905e-05,0.002347349145215949,1.272441167216282e-08,0.0015065593271888253,0.00381181963692217,0.003812812581993815
355,1620432000,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,38547012.416053,38541953.595288,3.28777833365e-05,77041817.90272231,5970629.514671,5984941.428849,5976022.361518246,399,1.0000758712824802,0.9980390470454136,5971082.513989492,5973205.240271071,17928.06708455474,1.2979963703123683e-08,0.0017382720421418672,1.0052366362623248,-3.409920869890115e-06,4.1095890410958905e-05,0.0026088450255929985,1.2999518788507197e-08,0.0017396155720961121,0.004306021177323907,0.004307364707278151
