date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,4328.951637968060096116,36828720.805212265524958622,355320.932742357601741559,26321444.46717911255368571700090191,37.744529841841998363,320041.036870703639558498,115353.0482135348799765790171517483,28
1650067200,4350.407901159682123055,36595893.242846740998428841,355077.333171047241070097,26697601.09745178007483250674626688,157.920923908238564924,1330445.813547202071580395,479560.297674514092676366717384843,62
1649980800,4363.045748695231852918,36472504.692408976553389738,355012.075494858971412992,26504606.4832242299799039673850746,265.194915052311922636,2163662.106381109414488001,802436.3276186472784722623773078845,67
1649894400,4469.641893920334513435,35576916.40770244775700957,354915.571496949153440142,27024131.5355172135139611588218032,423.479985139748417349,3286148.311681011414347347,1297931.554387064658660175506379107,90
1649808000,4550.135272524435533546,34809143.328534214067938797,354261.788822599879853317,28390347.53636398275726408791319964,809.510210544167144382,6385931.749861570059757621,2478250.791160651316657749998870173,119
1649721600,4439.784875426922347421,36103180.235645323617928822,356480.991378773523689035,26864710.19191466286542173296487532,1614.157067759944422103,12445030.602362455106447669,4830671.500583703471934828015327356,167
1649635200,4531.99821569488478869,35366281.106437833336586533,356657.55321070809440855,27049299.37746347569441720587395819,4486.417673704709641417,33378028.231874294834841527,13851736.21432749119900683657033323,599
1649548800,4741.057264629300413697,35517206.117416632998688588,366094.704273098852472803,30411702.57717643204692861201354669,3023.911323848742597668,26462733.282990468107221427,9852803.599616049871158471841072298,342
1649462400,4394.606778478581697943,45853497.948203252645127918,400875.417687461119098644,28637492.84569002694444928775989135,242.262472513613018929,2573908.876120122597117936,784813.0870397224388220306214840996,72
1649376000,4341.47357838220281199,46367511.705649621695957011,400705.00591489487653245,27649974.58537322666219180221979205,214.47894208065095601,2292074.809352453971317453,695774.2697966472666297285898353636,62
1649289600,4318.969573114065372054,46432643.180854661758532432,399975.377747334688529179,28005221.1993049975197841314335575,106.799972908406202007,1142070.128032065825927447,344060.6037658737781484616584315309,31
1649203200,4353.932835424372057812,45978420.122723964387826535,399636.753584611858090489,27619183.4895709445962898997874457,274.284981373688429444,2934810.22998417412458801,896916.2353490979237573529359155935,72
1649116800,4248.78081806854923683,47088603.444670634269117269,399557.173008783194434184,28975378.23766385384954142167757748,130.076648229790131469,1460528.44974313489464805,451832.2713929515780939320910683452,36
1649030400,4230.073078495789839854,47232499.456123774218495981,399303.707496239159952019,29899128.27151976637739950879256318,96.666901800174795882,1076378.406692600081742562,336433.9255682644757488762636883298,37
1648944000,4236.204687802956081261,47052427.823241956949309266,398844.229183531334089799,29847914.73089116180634236495265837,234.050117217021490556,2584962.503998139734386163,816737.9483103433462122453813320225,71
