date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,778782.343825136864477262,6071674.021913,1.810995450019499695,12378933.15114523245972923414135483,1216.079121872164593541,9467.332555,9470.476380055032881402091211903866,3
1650067200,777566.264703264699883721,6081141.354468,1.810995450019499695,12461389.12000359836790015569126195,32804.221904502299265118,257189.005181,257182.411618488637463860942510651,28
1649980800,771489.572329651044086571,6091660.582992,1.805579348900061247,12338446.51245176406971997377743002,30206.628511658005965342,238565.932183,238599.7128727780924817721382451134,28
1649894400,775211.009121727550588352,6014889.864885,1.798593713296912596,12276892.92835605148256354177724206,51194.374162100297320617,402666.421352,402737.6754885661500736819035830365,39
1649808000,768617.663884140115742307,6107955.349094,1.804913255235378551,12518460.46625080243145630252718546,44371.841002460388522616,344723.284745,344689.3435722377037682138159081416,30
1649721600,773192.378288518621156679,6067567.937414,1.804441475310848122,12320498.97029438484699987256889366,49135.167204388632592751,390935.285133,390860.2281933601573328173434100659,41
1649635200,759063.193159418047991273,6124062.258686,1.796355305133664516,12220842.72953787240413351217163437,145597.691353722065742649,1218103.826741,1218006.880849857840677398155147255,123
1649548800,725688.834628504226043048,6436948.734647,1.801262032961497021,12686756.81416018379676897887434454,90443.850418197759306028,806957.904114,807090.5986592851261756702086530401,73
1649462400,718372.788559864061558723,6449880.428874,1.794298215879732008,13078811.43708693939421445061696509,89361.502740546612925334,808394.21799,808464.3683348837192290080624338113,74
1649376000,725390.697591631393805504,6347549.137599,1.789016960521179057,13087082.19220478202899140918310882,63573.242812069854713138,574464.883252,574441.2942244524899039411659460209,54
1649289600,709153.037001398119441954,6491155.239251,1.789016960521179057,13208920.26244933636181250961408969,108918.669312805520734969,1004758.321597,1004513.155514532821885791021025277,77
1649203200,704272.488802689606521795,6472305.509661,1.780672949976874815,12995536.52414276444395471716293963,738520.658881791681525862,7953888.01214,7951333.795264492366572955369093014,471
1649116800,691296.102607799178663434,6924911.667116,1.827896583285565552,13616922.06924434804238445810661045,354216.2009345195884275,3547516.3005,3547392.850518615486028304223654392,151
1649030400,695452.002174625793074281,6747556.534598,1.811156389904425834,12992294.58918995197851732377338224,141718.740958093216256838,1337484.485059,1337571.745952524593831924383070237,72
1648944000,702211.645831352670609066,6687987.729694,1.812470146462186833,12989795.69980610652615367531562534,74015.93787216186894505,695242.686098,695251.9251844362755409296077894976,58
1648857600,709233.175352167259806062,6575119.521901,1.806358220882976022,12954246.10862539464701635315349835,55840.607701756336545585,518880.522005,518888.9473849202908226234219524188,47
1648771200,711510.205189228251107982,6491306.790232,1.797900506757456016,12875813.70537357054651976750229825,54054.342794717336702335,480275.951498,480335.0169918587696585846168661631,37
1648684800,728415.605919020619874349,6310911.519357,1.793900506757456016,12741725.18441357610692604555758225,113704.322799920581124005,1007836.116589,1007815.85368325103619836727806231,56
1648598400,712409.362849848236358285,6449748.280129,1.793943505721193641,12938209.47123916257080294823127325,27911.618193298400905997,251107.875372,251058.372424784241166369493071208,27
1648512000,707490.531540318570373763,6448693.017492,1.787698459826432179,12849146.56811984116555058723422625,64181.417734289952610864,587074.814442,586986.9466965922280276346749199894,62
1648425600,694470.878306540276715713,6481580.218048,1.775925777474930555,12881396.31606334693658695891594036,153106.336465634450047438,1432106.48064,1431323.979759209544600214434172351,94
1648339200,699301.644609474629321835,6448351.822699,1.778119850976460415,12756632.16051379073376326718156459,56397.383675192096645693,512155.948907,512047.1586143605985945792432434381,83
