date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,1394360464.476081475146538924,2604658.191352,57.716505078192293055,5223481.189694664213280341644545234,446421.337769022796650452,833.501044,833.6183394331514159227650169979475,2
1650067200,1394303868.939266530414016368,2604761.41104,57.716505078192293055,5248152.504816014074878419315370012,45489962.968924543107768136,85516.10595,85468.78190339482116133158095975984,12
1649980800,1398768710.18672316898344262,2596192.363224,57.716505078192293055,5187162.29305300993961200429863171,38939846.585018217109538099,71741.359384,71661.12988386583579026481305350583,8
1649894400,1403208081.008677122465287959,2587763.785518,57.716505078192293055,5186810.419883260605178161367029421,84079525.293402554740225239,161290.75991,161340.2984454289448021845513247663,12
1649808000,1369539327.555564105230416672,2650896.028878,57.716505078192293055,5247636.561180981955573457165159024,153043707.212131289636637462,289293.201898,289307.537150024746172628222119625,26
1649721600,1404421629.364099662316542458,2584199.059904,57.716505078192293055,5155043.727389090250872452072009069,182368482.531687843221386804,335912.322547,335913.3150691988282374289117394084,31
1649635200,1437370997.29771420526251476,2523977.943245,57.716505078192293055,5078081.580004081786185067470929756,400741707.904726666468228772,765028.90665,764787.6127372257834087399943639632,72
1649548800,1408383171.522309714091368084,2573684.085849,57.716505078192293055,5156744.775702619152003547527678099,109508923.513504137054881893,203898.382629,203888.9843360519749928566882186676,25
1649462400,1408253442.263056336921090817,2573315.745536,57.716505078192293055,5178270.779577765770514878219166963,147541083.861166452447366176,272550.311787,272519.5444094444668978365713208139,21
1649376000,1400563655.550283109455548844,2585942.917635,57.70884797998736439,5209602.75735101051643806181527767,221283247.711957899917734836,429027.603178,429211.7711562693078728734896000723,34
1649289600,1340731775.751591572621902122,2700034.191349,57.70884797998736439,5409205.758190772594727955261807991,284837253.81791368115233152,563450.709299,563657.6575467127889527093685154902,52
1649203200,1402602396.54354698510214254,2579304.119434,57.70884797998736439,5185762.412736792594459650678070734,249898476.738423609242071298,479385.442649,479372.3177718661401348753657715476,42
1649116800,1313730029.38855353446531403,2752289.866917,57.70884797998736439,5480049.179995574476356551624133565,132274249.852634053304477249,292311.101754,292176.1980425808484414505873668411,23
1649030400,1277625439.009143091945074865,2829190.535685,57.70884797998736439,5631436.831200693038781495264723586,107405222.89013922956520607,237994.947639,237982.4602159333357762264349037728,20
1648944000,1252768001.554600827846239057,2884600.431008,57.70884797998736439,5759030.137606280296714112861157528,86892597.025708977350787089,201270.851036,201260.8101319228171864900828732317,20
1648857600,1258936417.540813953825435636,2873535.254723,57.745703582067744311,5769837.757309467597868426870354659,49638187.83462112311884868,116601.097621,116640.0836860160952982594619460745,12
1648771200,1229331796.630677210886445656,2942382.620928,57.745703582067744311,5877291.450031496015149120387910364,262480463.482628795664587205,598982.231757,598958.7849901997854463157504838903,48
1648684800,1252290730.039912691830727487,2886635.328975,57.745703582067744311,5823660.634479333682082552799005058,515772768.380001872108732242,1225224.882067,1225396.615211852534104087029402356,99
1648598400,1297733683.916088749515029081,2782066.180904,57.745703582067744311,5608401.097945886371089073923028895,259950630.140317753739938007,566277.116847,566428.9510761165861165799842636151,48
1648512000,1245494809.054841454920717652,2896995.794713,57.745703582067744311,5774816.946786323716766946626456725,539098380.008199438058103342,1218078.320099,1218509.856890221207027725364920671,96
1648425600,1295522828.323377862739510128,2781567.69819,57.745703582067744311,5577488.543847560308516988046631851,771491647.309862520417494755,1869557.818489,1869533.86364853117301772477270893,123
1648339200,1153547185.612222627221322401,3118004.350415,57.745703582067744311,6255221.159380243763163679484522768,677526592.430992233289535499,1533453.75635,1534247.104630573917418366616998352,141
1648252800,1399786933.93764067769333728,2565376.646043,57.745703582067744311,5111217.485139160588557899871617323,359668741.382495295093693145,647593.489067,647107.8221486313439588998878954789,52
1648166400,1405459009.363127464706755361,2553074.916364,57.745703582067744311,5097275.025451427728899636034840775,475538797.302529879564487377,814894.4792,815201.4914543305008814219575689016,68
1648080000,1536498303.889450996990070414,2333040.870496,57.745703582067744311,4641677.692288802504077992117110876,326480104.899706915578473609,476078.705288,476205.0041519061797409759071919997,51
