date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,139963537576.89536045187373963,1185.267551063635776024,1428586.58450963015144323,7206766.436766404304801252512853005,10514960523.513193118769973616,88.063603757742102958,268478.9287410605017553587961188883,196
1650067200,140656664327.786112839071465288,1179.162482089793774788,1428586.58450963015144323,7235535.894974168422489818796007329,48025869851.974791481801533977,399.453211180118003767,1212957.226661587299029255251281426,420
1649980800,139542624572.575761284745129892,1187.615486695168597121,1428753.404226951547656543,7212125.857944813958371430708359115,27996075866.771829158780656388,238.164362573435971687,721213.2333328084675386857069911603,345
1649894400,139598651143.226327616825831758,1186.42461383961646823,1428753.404226951547656543,7170593.701671304790479834989962282,56001126691.976444012199954512,473.160208853318519222,1450416.0211225264194995113428063,390
1649808000,138503210735.584525523265336512,1194.37081042466556891,1428753.404226951547656543,7449888.375654607414714687983121366,81604536312.734794733132632304,710.014935194150187845,2169671.537524828414689041779385653,611
1649721600,97862351664.138971556484636849,867.029692217407114176,1024277.925395683225308788,5246347.177851382278037320944505781,316648998744.033991579865827688,2748.927946912737699884,8344466.655317238294455794893555486,1200
1649635200,106616264208.379995905842406668,788.307522571950613408,1024277.925395683225308788,4703022.082961600058099913506150941,51419101434.17705796008400542,387.980656279087105721,1191983.103459133028107497544735129,318
1649548800,104976829770.784658222109832718,799.284366040730251415,1024170.620861405296037111,5127041.724630655583734405935076537,108061109365.445565511432425549,844.023164064566908265,2750581.441667850570010955338575963,416
1649462400,105610242421.329978127845643701,792.211230095365831802,1024292.964820440901930495,5162512.0890342118076470145256658,21908600597.262367247129161478,162.879582935748372291,524563.2967725616697790481646641953,290
1649376000,106149830593.804866446692855373,787.684011760699860485,1024292.964820440901930495,5009582.602002911676727195106952024,52804599257.412241309452259913,415.85680807613010116,1355275.395811693811309358593122577,248
1649289600,104625978877.399636281960461442,798.422684300264071324,1024593.321762138704850177,5169633.489385917670576472071148525,15402096757.871600730314860483,117.78306389164046796,378117.8604088875800153840061825248,214
1649203200,104465599047.738455572676678409,799.29491231525830606,1024593.321762138704850177,5071025.475880980330062300510649107,48316822147.505411020937147381,373.225566182044140621,1232009.301547051619696779212472341,315
1649116800,103457863296.568698959381925963,811.051669759266297306,1027823.011138183514351145,5531853.082505485779423777747643788,45791762143.666515966566254335,353.094745394217785828,1224625.811381439242412588648280925,260
1649030400,106682459543.151436448197120247,800.1757775629491606,1037371.582399589629626734,5648752.227213429009622218576292381,38090666406.726574485599335624,298.71627153991863029,1039586.915044232978099425940250015,246
1648944000,71858285290.984909964223342651,543.603335076839953654,702166.361789627861015868,3830053.18948821028083649882631266,45935363808.745318495765475158,339.136708768441955188,1185725.749595982108747070153867272,321
1648857600,72053715558.038484547820305759,541.115249259577432886,702166.361789627861015868,3732605.50643785905412813669335955,43159960087.837293822568459839,331.333549848003858944,1152671.375681101101216403996761362,348
1648771200,71756995471.037576914650303384,542.369610868854184308,702166.361789627861015868,3732319.660964445765918968198433334,18410470668.894530563530159962,140.7797483082385501,469755.052355946392095037467378971,241
1648684800,70158802799.946981141046995317,554.012444102741430153,701986.788473268948065163,3630851.837246660777104703516782312,26769385594.685163876847737145,212.545025954811528264,709729.7425835038076345394675230303,366
1648598400,69194235022.586976740923580332,561.093227596196838001,701986.788473268948065163,3797694.257286732129035595093500849,27607112370.470764389313095082,222.977225724877085505,755631.080650683127805965811826374,447
1648512000,69258318079.218787441301942068,554.831180973114486894,698799.475578279658391586,3766614.298399142957226520327861264,29005876077.775053244178522103,235.545094081393252186,802460.5010592237312771821375096106,403
1648425600,68923135272.119558206448371916,545.457467941077231528,691630.311495450702986591,3630178.233073103809628211929861503,52926284234.569644562279931322,442.50043900981931419,1484936.791357926337245477973930935,493
1648339200,69507268455.024739402742274618,537.54405952876439142,690321.232988786728637181,3536498.115920414057012613099467522,67301560354.561886998601064067,517.175033377926163441,1642287.280387481774318418880543089,414
1648252800,69255163139.511109431702969881,537.941161591485941833,690306.649350504511911608,3380430.252170808315931336409177093,25105466545.487831926926867691,206.180959888814885326,642227.3893522714520051965678285198,326
1648166400,69456351986.887201113085434608,535.796326976276708307,690306.649350504511911608,3323300.369379800605083834100710813,31548306193.878565076335796831,267.357768698245407787,835504.4781745318904027993169967695,323
1648080000,68590917077.76025626740196394,543.311166506984555928,691259.820334782791707509,3381258.747745325685475688674627784,15191884380.367602314020213961,122.670762037488965721,374222.08656031043869915873176737,330
1647993600,68921260743.7818546553095128,557.371804727872743288,702066.328965587111302684,3376624.836307834366593782063641757,18423024506.448432669215160395,148.519508068520059895,442412.6865637026134216866864071558,330
1647907200,69530686789.953082922837065753,552.045201997228706121,702066.328965587111302684,3277857.96211326200258586021480222,86173050772.001448351678917095,766.089211596439805421,2301724.308529860101222688647037358,378
1647820800,98085200046.318096850549533509,774.665510917240307586,989551.75106421180092612,4487743.572835399835781923411999977,12165396329.724317731310037893,96.306599139635269588,278321.3557161320656721622550801114,419
1647734400,99373776182.455034193623989712,801.47716450695925067,1013306.296453169149502216,4585737.498111966490076359270411394,34305761078.733829909905647126,279.342306042367113086,805281.3608459315437123239550415632,589
1647648000,99150712002.337300229358396169,811.951983365797477268,1019286.852177807550598463,4786592.279363640869816641704404503,40698788281.814606122217680387,328.058690366517788616,969343.3329196429580919641441755297,591
1647561600,102141191647.928863334421522673,771.101017198787719671,1008806.653244693461067647,4543476.634254265743103296497270058,41532683715.49033629318707043,326.105312629419366011,934709.955509992686253943558715929,392
1647475200,99760243223.272589625859650851,788.860180144995314627,1009017.769010419239093782,4443428.608219485360349453822906116,14581849608.868603349488350825,117.488240047460763473,327030.4641142175906673526864443462,294
1647388800,98082371875.83830514953112835,801.58453746875645254,1008756.534995262699452736,4440400.464546352100292425115207548,49678483545.456756362446169853,420.005417603360915115,1134548.40263828241782301984608798,340
1647302400,97565384998.704999152339462157,804.612376472829643229,1008756.534995262699452736,4218240.934678697641739350944714919,24040480524.767080805917307783,198.559667555207534312,513114.6974487575235897394880105807,350
1647216000,96122940044.980408221443138387,817.547814939409275711,1009660.08510583530952655,4233481.822880801683923937554226402,23412778245.234168233288332628,203.282444092539350015,522658.580313861242216244537768689,326
1647129600,95577335547.321449283489774418,818.842474952736047673,1007955.241616718594557118,4117918.785002572760664283735951987,60243154732.281587370603097689,529.500988426882713351,1368288.234772064371741998452794739,415
1647043200,95461776199.831273015447651987,820.717777199615912929,1009439.214583014332499418,4218206.730400060521761596672069473,26743010610.990541972456006563,229.555946296064342899,593414.5641414896532454717485218152,478
1646956800,95293609206.842703173983270335,822.80458727034650407,1010254.516368124757169916,4218436.818275328585668667711943643,45745927503.448843984818541241,396.054196832395716241,1017453.974414471593514535272916484,383
1646870400,94906023042.564360312506235817,825.290890417068994405,1010430.246614270727872587,4309470.435923418073785536616897445,30216700821.161101582688429602,263.039811590012980587,685085.4117861119549824853549981156,322
1646784000,94707915858.669843760428070949,826.230878213809900442,1010430.246614270727872587,4505678.821933120396398690237016954,34225522952.006726169679610511,308.958868560445216442,837879.4755479114907835029029790773,356
1646697600,94086563410.929994458403297038,831.348564969607918219,1010777.586136525154019789,4288299.719854615853997290885329872,18693234151.037188064597693817,168.204929778827488665,430334.06565083664424669740350412,338
1646611200,92246182993.09380293966342717,844.126152618288048594,1008809.019342904588524709,4204004.656178372184147095622109997,17096115992.236775344217649909,155.174254878869185826,394161.487513428972403352112906201,274
1646524800,92323416407.718879317985647524,847.630494518472267505,1011603.639767044264119644,4328603.986191891725692984320499857,11515733715.958816087517029598,104.830940428853171639,274903.5756098348491010004401695636,319
1646438400,92162697515.145641627146520661,851.324238445891107048,1013112.481045781085533324,4536116.646784337885404191851913344,60137499254.930181508148392437,541.180966758534916261,1433738.448904137533788172731730697,407
1646352000,93552879306.69390239520508187,837.072019793137087473,1013112.481045781085533324,4380247.914390052526523862893178888,27492651694.244671483229417249,247.206604800368799103,664056.1550109159503729501222446862,329
1646265600,94315194087.645881181916102878,830.776037481337985332,1013846.606044071859657266,4717313.572847033841559097648209053,27250699798.047970324232685223,244.243559256627199176,695175.6855193668550000613454686986,348
1646179200,94693038905.247961840366360563,826.740667107557999466,1013846.606044071859657266,4887627.704148405689565349275096059,20490015316.598775381781108333,182.156923279408515541,542374.9964169708870900554375332043,327
1646092800,92716079862.500239432422742488,843.816325715015492019,1013846.606044071859657266,5009779.313819871133255873422272332,53619405842.716429099419350874,484.133858644567636973,1430354.602561468230689665098142382,404
1646006400,94071984342.288920101204550854,830.181216791817077966,1013846.606044071859657266,4844188.611043844155722099466292641,38508485098.754371517694194746,349.015468147009447058,938943.2577572711685753114482320441,270
1645920000,93573939400.136756817854945614,832.998711874612307717,1013499.266521817433510064,4363980.999425628574651768379042011,87104003833.794209182475411247,879.812039663450824934,2341695.328033389970692075301545978,356
1645833600,94179652607.938656443928507277,825.336938307814024317,1013499.266521817433510064,4580862.049898293029603667930967111,30202855652.576424673022727803,272.566160810812313891,760893.5223754009168924637855910462,364
1645747200,92731207783.574805101654251455,830.977548526875664064,1009595.236631740725643751,4589577.941830691024876545165951635,65226408687.587710243502447157,563.013081873395101673,1513853.822291323376072311538835331,326
1645660800,91736333015.047060348109386934,838.781358829489225168,1009892.360571517057089701,4352347.359503970692542126604645262,78357476029.286370167997453007,732.985910645852534324,1771876.590412083711568190819455155,417
1645574400,89572195080.94958352995206155,860.417978993921400849,1011998.450692095141310672,4453907.478962972144412518931612197,34098713865.120359919045330011,323.701558741898581669,864288.7560505994638973728150498009,309
1645488000,64850019497.51485307253727915,609.9414469104967228,725433.681183429382673707,3224671.541100961285404184439829361,40621791854.169305785301710775,408.505535388363577619,1066842.038048505594576703873120397,298
1645401600,64855190752.541850314376815317,606.576855519616249512,724140.360546739349473865,3121294.623364068525249532888790492,40853619934.798005687644609791,426.857836932857755568,1152455.478452754913681887852122314,288
1645315200,63525147341.716546009003188535,618.368199358252117328,724309.933254297775084814,3260594.718640452784973369717049742,44092060761.989551823325912376,473.586453899723659808,1249223.538554638710909762675950826,347
1645228800,62697982671.898563932515497592,624.453234113916826484,723863.521903120189853855,3443562.504956054160408012075287378,38264893660.454449918647268859,429.510021357727781009,1177028.490279004096153363251576742,309
1645142400,62312591658.133750207911841507,627.154661478288659039,723863.521903120189853855,3488963.435055301084523055492720576,20942397190.199652424863862159,208.505113404960785012,595017.6860797589918239312422775512,296
1645056000,63559460224.224320542810882973,619.673431085636657955,727059.893087072290613603,3575519.317874749998585780113155719,31985514034.367769033519767826,316.942241487513709633,964678.0255801892203820100427222955,417
1644969600,63625637090.25051572342915961,624.263655315415803621,730680.081017269377499244,3910718.83924830723258765917504645,46260531650.581299572901368107,485.759303601304290314,1526293.017152539866862318636642642,375
1644883200,63604151798.638918115148123181,627.147820592031508753,733030.659324644197436876,3995923.519858653725356028823816688,27291195951.353861522444755302,273.187092534138763106,834580.7342101006267583276701358943,447
1644796800,63115331636.341077302236750753,631.14710489747405369,733007.583617546746939083,3705124.865961508300279525861087902,76850754192.752637063188438628,1071.969042157818103222,3080428.453276836719812403309427208,437
1644710400,60825582327.921751287684179388,636.332582842709612523,723878.896641546114870427,3668282.250122402313422031226249694,56983782024.791047934686293826,599.546920153000389947,1747876.311243463130221183634212723,583
1644624000,62568058676.166400769303189473,623.463394752510896774,727725.758587950429154288,3631063.609054195483965686484670338,47102173918.651952172230654516,465.950339581094315642,1362455.735744292769983819295869857,542
1644537600,63422326882.943241335730933278,616.223738935645165153,729224.470787699161646971,3608924.805551967962178804134837454,45892822529.336957836486455271,447.516039537115523009,1355372.658546677179570135778587554,465
1644451200,62494962341.429667923532916556,624.268110543633829568,729365.993877575159451462,3833450.963367278236162792569685682,35873835484.157278053005715064,363.004847179227910156,1160382.233314920888553563593607804,465
1644364800,63326185861.5388279392762072,641.460530743331308284,744885.149722763115904294,4159623.518250171333341622810969779,88416235062.484627055384644445,901.839027674332240885,2873476.901260357342607029097336742,614
1644278400,63990729563.316098387226790467,634.054610807329842056,746002.173223711887144542,3960760.746389056998086195894020692,89911802158.413879179220712696,911.712586515561205642,2825488.816164094144751974986063313,745
1644192000,62457224890.169874478764067724,648.407129579243448475,746882.727782195030865724,4080631.176259595589414099466094415,126878250081.660623427250131721,1304.020806367033997855,4061897.144436664257394066138797819,797
1644105600,65989166113.344601297956400127,614.611669070213326729,749682.866106610793679533,3765931.945138499399500376884402022,100142684986.920939230498170899,884.732650179289313967,2654894.107221112222273894251352073,602
1644019200,73490709940.948964948941026332,549.450674738961754692,749682.866106610793679533,3317087.668285346957651217777530776,86311373728.976496567132683228,816.294597150213983794,2458898.720521646525200509813713373,362
1643932800,73584648497.72161453707891445,546.050213643799001893,749165.009310580098990425,3262353.443264626033538861194298286,53622352804.338274276870743541,420.095559196525440651,1206025.764961850507218214063354915,297
1643846400,72490386706.991678597247316443,553.070989148851774404,749165.009310580098990425,2950076.52172550377154106462377675,30853172936.090059265160889267,235.278850672232801751,625579.8945668383622478166152870072,262
1643760000,72559502432.174014200392224842,551.841269830392374705,749165.009310580098990425,2968777.364066783658056939918278204,58525243571.765687310615850307,461.358119940719780121,1268538.185121960499507670857046814,275
1643673600,72207059487.515420601227898182,555.140948922227754218,750490.993369368126924617,3102416.024701596543751757001754526,134043184695.00841399883208454,1086.385982317394841903,2977933.682041050706540507945222864,329
1643587200,71034496593.357762123516321109,567.994561070888461213,755000.680037345967697073,3053783.286285531401758939829787038,30156830484.129906451711816121,245.107155538411419165,637141.9074159242130647713491286289,268
1643500800,71128091023.371749397071317437,572.411091661705569278,758912.649277847345835877,2987214.90220337470919330506560556,56896958967.485257453216487215,491.48752269469643143,1272083.18935855932760810020798812,298
