date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,804158198230.125925972617406563,2070.798926970125198603,30066268.916026907461333487,12560956.34698842285185936718459045,20696155372.143310736776836504,53.932489868831149511,164599.5264945424237820899727179907,130
1650067200,794028061513.585237503804043473,2097.05497257651991207,30066268.916026907461333487,12869801.47228216375042096350419947,16419727830.611143937781789065,43.332829881354437145,132155.0657157893781456755350441196,127
1649980800,791400311998.116102069093544735,2104.08356097655813961,30067670.596953954292704374,12778348.52467296437694754111050257,42053294117.377822982283673805,111.568502228563253077,338002.9946561902385423781417162211,129
1649894400,790912258645.634966172639350975,2105.558301458548519908,30071324.424393815474759945,12725659.67209021522331308380714328,27090721801.138577295840910429,73.133339844930612994,225584.2792736098659742064871516309,121
1649808000,785867621761.804934781912209368,2118.85482172155108454,30071324.424393815474759945,13213142.34292786177197243585562762,46585647280.712519792976975101,125.279822215686374813,383874.7366960223117090856541431083,136
1649721600,782696887058.987103092142702641,2127.060740652930733205,30071324.424393815474759945,12806936.90633939085669857747947342,96404871510.603606059920779662,262.923095154897969748,789595.6096336289955186054912423911,161
1649635200,779298506460.843342721754086219,2135.546033573464733205,30071324.424393815474759945,12740750.56691244609385406093474071,109549423779.305035287327206027,305.899700977439019162,935043.8320367274788692037420449696,175
1649548800,745258068558.06136005029494464,2232.139125219465466331,30071324.424393815474759945,14393255.52319903999058620992121014,177710806439.827766001135704146,518.518753898468222147,1689080.487773356658102097893526424,215
1649462400,765011565396.24874671135614824,2172.966373650686112678,30071324.424393815474759945,14157590.97439552022641454052190557,54815957858.827372040424266817,153.104598137445899289,493743.4293183159554032478184750258,132
1649376000,770765438351.168262222439961837,2156.285234086062000025,30071324.424393815474759945,13730152.48937489081207870113306233,59059789187.047091376645097407,174.47062781221484165,565863.741760385809448380754621491,158
1649289600,742143306707.107794330384865335,2238.708495948827384222,30069922.743466768643389058,14466802.17752208654049382038689923,43144092178.595468131622034199,129.248075144570203404,414432.7745670836766447916736044996,137
1649203200,736302645126.050512061732782926,2256.07476624766561868,30069922.743466768643389058,14306034.58640788173102350874661934,130258163073.549892794133794023,411.188013851293159202,1356140.514760301802098606865642107,223
1649116800,706107276979.797500345589496927,2351.28541286515346186,30069922.743466768643389058,16037928.27492814432402491176956409,167516636756.548594179222624291,570.281166110625232587,1984965.502199275096344830629951145,220
1649030400,723522724054.178004893590704078,2293.058916340368542353,30069922.743466768643389058,16186901.60493491252291056406516787,114285463121.86143621834422334,368.172436670606949016,1280670.240641801609906841994104976,225
1648944000,726765008638.625318294512631434,2281.738383379084418497,30069922.743466768643389058,16094022.1521311599499083758346694,93364223672.015180414764478667,282.846415423932258938,988863.5417498021429830829252573615,250
1648857600,746437159689.978585213904866661,2220.762608540962394627,30069922.743466768643389058,15409362.51633588019850556109611402,139158113602.387638047358080422,422.15668126388970994,1468211.313971453460342174728664935,265
1648771200,739059184841.472869099897564047,2241.666514425173713385,30069922.743466768643389058,15458734.2089511460396126605433567,113222997709.366950975590530582,331.570162251355448856,1121921.616016125426912701727736235,190
