,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619654400,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,279756379.48528814,200331648.49771392,370988120.84574455,526390126.45715296,5288361.94860542,3763319.57840774,0,253,0.9425383435257314,1.3085023820497859,4984483.911003062,4924312.632761124,0.0,1.8997316813870707e-09,0.0,1.0,0.0,4.1095890410958905e-05,0.00026027397260275364,1.8997316813870707e-09,0.0,0.00021917808219179473,0.00021917808219179473
363,1619740800,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,277241174.7245493,198791749.86793268,367874967.00872815,525041220.1065537,9724147.819987813,7035522.329787445,0,320,0.9499692665471992,1.3151339825915087,9237641.572350368,9252654.501184853,0.0,1.904612365095938e-09,0.0,1.0028016642216553,-9.784226495668236e-07,4.1095890410958905e-05,0.0005206834302871055,1.904612365095938e-09,0.0,0.0004795875398761466,0.0004795875398761466
362,1619827200,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,307743068.0772798,200819933.14346397,389516862.76776105,591141364.0930223,19526896.89288592,13313540.17954243,0,304,0.964938465813174,1.4649354549268143,18842253.92991337,19503477.03960441,0.0,1.6916427452751208e-09,0.0,0.9144429581783386,-0.0009991108411182559,4.1095890410958905e-05,0.0007812284435796402,1.6916427452751208e-09,0.0,0.0007401325531686812,0.0007401325531686812
361,1619913600,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,304578052.71823,202924690.13432196,389522659.2204456,577582523.1492531,5978318.976931392,3954380.827583367,0,239,0.9535678965528201,1.415040574375181,5700733.051754275,5595609.317561772,0.0,1.7313543258676301e-09,0.0,0.9355310782747515,-0.0005548697186169571,4.1095890410958905e-05,0.0010419090830434685,1.7313543258676301e-09,0.0,0.0010008131926325097,0.0010008131926325097
360,1620000000,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,321251411.4242746,204736742.46427304,401802487.4320389,633818117.1516509,11402470.571335103,7373534.116374399,0,287,0.9879598510542098,1.5455683076777889,11265183.12730624,11396300.645849219,0.0,1.5777396905187145e-09,0.0,0.8874146272453198,-0.0017806811188048055,4.1095890410958905e-05,0.0013027254192784499,1.5777396905187145e-09,0.0,0.001261629528867491,0.001261629528867491
359,1620086400,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,338791601.7405084,210257877.04529223,418134711.5353522,647718466.1861162,9325933.775619177,5862476.993480337,0,493,0.9545838948031607,1.5424556931115552,8902386.1862069,9042611.014329258,0.0,1.543880639822084e-09,0.0,0.8591656312705552,-0.0028732638739324967,4.1095890410958905e-05,0.001563677522921414,1.543880639822084e-09,0.0,0.001522581632510455,0.001522581632510455
358,1620172800,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,361652271.0899635,203185954.49216676,424648490.15471274,725815122.5818989,19905005.865477797,11698667.751410196,0,521,0.9995343030111528,1.7930927990381211,19895736.164183255,20976796.903393112,0.0,1.377761318120184e-09,0.0,0.7738743060163716,-0.008158293352521606,4.1095890410958905e-05,0.0018247654646456057,1.377761318120184e-09,0.0,0.001783669574234647,0.001783669574234647
357,1620259200,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,363218461.4861814,204136217.13588947,426556732.1014085,716811890.0840796,2408372.7581974254,1351836.5867920057,0,228,0.99049789605751,1.7489780282269192,2385488.1499167723,2364332.4880524906,0.0,1.3950661447352713e-09,0.0,0.7862210992792963,-0.007187748363236879,4.1095890410958905e-05,0.002085989315161463,1.3950661447352713e-09,0.0,0.0020448934247505038,0.0020448934247505038
356,1620345600,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,362706687.47285867,205508479.82118568,427682495.4844944,707579295.5387799,2215571.5831214706,1253137.6499865607,0,185,0.9771397315165382,1.7190308646954044,2164923.0218869853,2154182.2980387644,0.0,1.4132691647493148e-09,0.0,0.789129881534629,-0.006969995676087248,4.1095890410958905e-05,0.002347349145215949,1.4132691647493148e-09,0.0,0.00230625325480499,0.00230625325480499
355,1620432000,FEI,TRIBE,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,360152233.3545444,204356279.71772832,424969866.4298215,715229465.3623704,4291618.240720416,2424981.8942675246,0,88,1.0008286645722628,1.7356040695439472,4295174.552714178,4208808.444261106,0.0,1.3981526886526563e-09,0.0,0.8005428194169718,-0.006154616070381702,4.1095890410958905e-05,0.0026088450255929985,1.3981526886526563e-09,0.0,0.0025677491351820394,0.0025677491351820394
