,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619395200,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,733.594806742041,534.7535893027313,544.7045252592086,2698050.2472645557,81.58734742818632,60.021484945860635,147167.8076818729,38,1838.92403713082,2531.474976974758,150032.9343114352,151942.88722131334,4.415034230456187,3.7063801944158e-07,1.6363795429430613e-06,1.0,0.0,0.0,0.00026027397260275364,1.6363795429796824e-06,0.0002619103521456967,0.00026191035214573333
363,1619481600,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,755.2419687041843,519.6277920310832,544.7045252592086,2734055.766479032,96.53975232659523,68.50345875270905,176716.09426392455,30,1810.0528570797128,2657.7895711536407,174742.05452052155,182067.7782609037,5.301482827917736,3.657569872057945e-07,3.575433929805508e-06,0.9375199401957294,-0.0005200839666353874,0.0,0.0005206834302871055,3.5754371028318133e-06,0.000524258864216911,0.0005242588673899373
362,1619568000,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,770.7570285414363,509.30515410730874,544.7045252592086,2776672.946455365,68.6878091916824,46.30151196003021,124287.35909802388,23,1801.2634615281293,2743.605544510616,123724.8409493935,127033.08493276348,3.7286207729407166,3.601432431127967e-07,4.91827150731012e-06,0.9037855987662726,-0.0012778847005523453,0.0,0.0007812284435796402,4.918279481680443e-06,0.0007861467150869503,0.0007861467230613206
361,1619654400,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,787.4236118376801,517.9350913194411,555.1250321342745,2816041.8313942314,75.19935079131342,49.91126457903583,137009.1574660429,26,1812.9755199501071,2757.8009255758457,136334.58210079194,137645.33165272593,4.110274723981287,3.551083612649663e-07,6.377864428891926e-06,0.9049797806900844,-0.0012447774278263601,0.0,0.0010419090830434685,6.377879582020185e-06,0.0010482869474723604,0.0010482869626254887
360,1619740800,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,791.3360516134367,515.7163889927415,555.1250321342745,2841809.396082968,174.51449246948297,115.30960275167924,319497.67227369413,43,1795.5768540362012,2771.787375074326,313354.1833720786,319613.7011319403,9.584930168210825,3.518884839280067e-07,9.750690974339449e-06,0.8917722118999304,-0.0016378181491213395,0.0,0.0013027254192784499,9.75072763886864e-06,0.0013124761102527892,0.0013124761469173185
359,1619827200,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,811.4504461855398,503.1297476246596,555.1250321342745,2962546.3557042102,105.17526164434481,66.50761130808829,191413.54080476327,28,1825.463507741308,2942.415109937576,191993.60204889553,195693.00043877415,5.742406224142898,3.3754746084379686e-07,1.1689025614432499e-05,0.8540416730505658,-0.0031035820563322103,0.0,0.001563677522921414,1.1689081179211414e-05,0.0015753665485358464,0.0015753666041006253
358,1619913600,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,818.784900263019,498.7354584494572,555.1250321342745,2966525.547651588,61.70426158861978,37.70604921004127,110397.4988903628,22,1811.541435790186,2947.0404169472176,111779.8266326215,111121.25098539234,3.311924966710884,3.3709468667533885e-07,1.2805457923378136e-05,0.8461980679824065,-0.003476101784613661,0.0,0.0018247654646456057,1.2805526538262058e-05,0.0018375709225689838,0.0018375709911838678
357,1620000000,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,879.9074127254304,462.6039115455853,554.1335386164094,3172642.245673476,103.54979410279572,58.89729015688283,188050.1130442653,29,1802.8273201191216,3425.722822756164,186682.39780123002,201765.7910889255,5.6415033913279595,3.1519469343374517e-07,1.4583629855313185e-05,0.7244555751577364,-0.012848375751398855,0.0,0.002085989315161463,1.4583721240635228e-05,0.002100572945016776,0.002100573036402098
356,1620086400,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,861.9046587413143,471.0239808908062,552.9524054196796,3071954.029575243,472.6687024940756,257.17823744934185,869719.136864329,83,1782.072992888438,3244.9815821590846,842330.129298312,834538.6438552501,26.09157410592987,3.2552570460771815e-07,2.30771079004705e-05,0.7560022736076694,-0.009700698812114439,0.0,0.002347349145215949,2.3077323152209672e-05,0.0023704262531164194,0.0023704264683681586
355,1620172800,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,881.8858222184577,460.6302100435976,552.9524054196796,3167152.59257384,175.441036170905,94.56812999309251,319145.15607218485,30,1795.670433053681,3518.206256000764,315034.2813963955,332710.18655999156,9.574354682165545,3.1574102313375847e-07,2.610012444366294e-05,0.7026113877387804,-0.015372289333160927,0.0,0.0026088450255929985,2.6100409458384988e-05,0.0026349451500366616,0.0026349454350513835
354,1620259200,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,878.1997838764346,462.84990870684334,552.9524054196796,3248243.8881576285,187.11737736946407,94.94372211948645,328307.6319935195,21,1855.4457178735956,3496.1161999898522,347186.13657990977,331934.28498927143,9.849228959805584,3.0785865668701064e-07,2.9132294840631488e-05,0.7305875107442544,-0.012191969797389235,0.0,0.002870477027113183,2.913265899628925e-05,0.0028996093219538143,0.0028996096861094722
353,1620345600,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,874.2186841664059,465.06658106700394,552.9524054196796,3238027.4929060214,67.85070760223496,36.63989709282849,126265.10683980567,24,1851.955095190844,3481.118998654381,125656.46365626318,127547.84187858668,3.78795320519417,3.088299905392506e-07,3.030212839315473e-05,0.7323546303833579,-0.012006902777144668,0.0,0.0031322452206341556,3.0302526629055748e-05,0.0031625473490273105,0.0031625477472632113
352,1620432000,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,920.4895909121344,441.78886383588633,552.9524054196796,3416226.7926102886,67.7138036823902,34.55864670787058,127295.71338582029,15,1855.6574818108863,3906.092403713436,125653.62642510093,134989.2673882296,3.818871401574609,2.9272061274243294e-07,3.14199907698082e-05,0.6539810335847825,-0.022127918258986856,0.0,0.0033941496770503177,3.1420422879735455e-05,0.003425569667820126,0.003425570099930053
351,1620518400,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,914.5726733080323,444.8522416031852,552.9524054196796,3472108.869625187,140.31277512907528,68.9640604866371,266709.39848097466,31,1898.213761989237,3918.8153129247335,266343.6407329118,270257.41627650097,8.00128195442924,2.880094022247493e-07,3.372443520253504e-05,0.6668070310048206,-0.0201834807918011,0.0,0.0036561904672932632,3.372493971909307e-05,0.0036899149024957984,0.0036899154070123563
350,1620604800,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,917.1003945687959,443.85722798062625,552.9524054196796,3520407.9443444647,161.10620435274237,77.02091735787128,309046.41949512507,21,1919.3143766990183,3946.664725840027,309213.45418962836,303975.73768815043,9.271392584853752,2.840579886789825e-07,3.635804833244183e-05,0.6694616931008588,-0.01979615199261575,0.0,0.0039183676623310015,3.6358641667399993e-05,0.003954725710663443,0.0039547263039984015
349,1620691200,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,934.6295688953181,425.41307745753613,546.4424306517484,3517762.434517268,54.887848091151874,25.635902781050408,103882.09136379731,8,1881.9019596582389,4167.839971669392,103293.54888416243,106846.34032069243,3.1164627409139194,2.84271612598884e-07,3.724397022140577e-05,0.6215782483581002,-0.027611106727443158,0.0,0.004180681333168956,3.724459576726069e-05,0.004217925303390362,0.004217925928936217
348,1620777600,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,921.1885283198081,431.8169882918611,546.4424306517484,3287266.119902349,143.27634616249756,64.63163222235092,268658.0767580394,19,1784.2526360473262,3817.721503374448,255641.19832366548,246745.57213345796,8.059742302741183,3.0420415126892916e-07,3.969577728805744e-05,0.6433716977330445,-0.02383064768412324,0.0,0.004443131550849189,3.969649415047627e-05,0.004482827328137246,0.004482828044999665
347,1620864000,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,886.2170791859684,449.1867418803312,546.4424306517484,3264389.9247309826,222.0598196200833,108.1115662875529,409667.9146848949,40,1841.7552546659767,3721.098365449099,408979.83963546733,402293.772598755,12.290037440546847,3.0633595344232956e-07,4.346065762524928e-05,0.681350558554761,-0.01812312592480536,0.0,0.004705718386451063,4.346152394019143e-05,0.004749179044076312,0.004749179910391255
346,1620950400,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,933.9580503579459,426.39151443688786,546.4424306517484,3431891.0349887605,118.30153747149728,56.8824084256415,223309.11214695367,24,1837.2832878700835,4086.1832762264216,217353.43772571842,232431.9460203372,6.699273364408611,2.913845427505757e-07,4.5412722331298594e-05,0.6189679071467845,-0.02809051206423674,0.0,0.004968441911090582,4.541367348598335e-05,0.005013854633421881,0.005013855584576565
345,1621036800,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,883.159967658033,451.6052688364371,546.4424306517484,3326475.000346277,448.9307867446868,233.56456304490783,880167.6163859442,44,1883.2799957902507,3642.5345573401446,845462.3701706477,850766.9922611277,26.405028491578328,3.006185225789771e-07,5.335056298509266e-05,0.7117394884957631,-0.014281614620217264,0.0,0.00523130219592105,5.3351874626406115e-05,0.005284652758906143,0.0052846540705474565
344,1621123200,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,847.4372015704728,470.05186957977384,545.6930580872541,3348586.507716779,432.89347220992033,229.85792690588485,841625.987648306,58,1975.7136584936145,3583.7619029374428,855273.5457178656,823756.0815334895,25.248779629449178,2.9863346749307847e-07,6.089069359580368e-05,0.758917737004418,-0.009437645839287745,0.0,0.005494299312132633,6.089240751738778e-05,0.005555190005728437,0.005555191719650021
343,1621209600,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,829.3604187131091,480.82082691112953,545.6930580872541,3126225.677608784,300.51617663012803,176.08346298621905,591375.6551746376,64,1884.7208083909063,3287.4260190601294,566389.0913528793,578861.3577471077,17.741269655239126,3.1987453982045503e-07,6.65656740626039e-05,0.7892250957954289,-0.006962936975002831,0.0,0.005757433330952688,6.656773354740686e-05,0.005823999005015292,0.005824001064500095
342,1621296000,PAXG,WETH,0x45804880de22913dafe09f4980848ece6ecbaf78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,850.0708279333033,469.39120598576267,545.6930580872541,3178454.189966182,171.83118458863876,95.71453600168765,324829.76857136015,30,1869.5231535551316,3384.423920075596,321242.37809126585,323938.5651430485,9.744893057140805,3.1461834597359404e-07,6.96315961979311e-05,0.7604242209459666,-0.009303494250417543,0.0,0.006020704323645543,6.963385977409864e-05,0.006090335919843474,0.006090338183419641
