date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,358860260.611135905986230057,1365.548413085384852784,658478.401485508621570143,8303862.291805209702120069964644387,46454224.505901631032683819,187.093400884102244406,568826.2077401624374009894065845654,60
1650067200,341059405.846047103402102766,1436.247248852412313766,658478.401485508621570143,8812776.671155999585013560499868173,66734839.078485265957906621,293.427046107229472875,890566.0098665767628946472906785113,111
1649980800,336608164.801804756711647675,1454.371345528600919349,658478.401485508621570143,8830751.203793245532842466133543417,178731155.113049064344125114,851.143369634508421409,2576906.736692638686050932093591388,220
1649894400,299538184.367574016709914337,1631.53333931666384231,658478.401485508621570143,9860772.062970978607791776836060661,194028417.396810451006355281,1132.107883598081563819,3499637.793388570788731351149312384,247
1649808000,282356116.168753700487300948,1727.357083869933109763,658478.401485508621570143,10771769.16146338714969348584090013,224704995.63286199253861364,1358.498702083378622768,4170265.286362477495750384569340903,281
1649721600,278412572.940216830658164714,1747.696075272882611617,658478.401485508621570143,10575116.49081278889273520310314096,165107797.359087407865846671,969.464352313197932764,2931162.9601107887059368497828108,255
1649635200,302058361.443564607004617183,1608.120591322536689357,658478.401485508621570143,9594722.046468922755799359708460063,370243965.683988566695615076,2187.693458875794473263,6732557.529259773211003603143124538,500
1649548800,262208252.533949351531412215,1845.37877429433404636,658478.401485508621570143,11885709.92629867139498853808094781,278995275.019783295551752072,2012.528314218184751528,6569769.489335265531399269390829251,439
1649462400,243443392.830820528684048801,1992.500390336140511678,660349.661527107334664591,12982247.10990571460577015704043316,241057740.004501538452261686,2076.178802024795335695,6675620.191183242946801926947388558,428
1649376000,252886382.191925283164283561,1912.328676466503524025,660349.661527107334664591,12176759.5546033186771945112447806,631190718.451456455429722306,5930.077923586592923245,19306755.056611432412219504445599,997
1649289600,204970522.083193923587391024,2360.961932171439586389,663319.157008221605826042,15287132.73317630066696140060637987,523985282.9685882582983537,6279.504037564106788796,20166107.20780024919560523335936685,1019
1649203200,208905103.631670626340857656,2295.897922990836962095,662945.94769415980965046,14558886.50584135188839644920787231,1509651449.413077239805689561,13505.574060977465760672,44636703.27681513683071331714024862,2100
1649116800,267029874.098349853212884758,1745.744941912641531957,659976.452213045538489009,11906693.62605812839183500036012962,1727724742.313943542430649471,11333.819543967486716948,39758120.77980569882800846436737848,1738
1649030400,266603274.141710312712647113,1705.471096861624928761,658105.192171446825394561,12033098.78402221011528843291240424,4413035645.34417223629924373,27697.608819793543062619,95893299.48331810874825664379500421,3694
