date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,5539527.294604213442299516,15244218.421089567105675023,9117929.467985260492732795,15104313.77368214644621537093362909,37509.254820498481287613,103612.678594359115269562,0,10
1650067200,5502018.039783714961011903,15347831.099683926220944585,9117929.467985260492732795,15578931.1023791431868682408894611,138414.631445296895169701,381810.234510259086114135,0,22
1649980800,5602444.18093234963183258,15071582.872199842194599612,9117929.467985260492732795,14941607.05791583201200068486414492,161035.56438181018574127,439236.104356786755586532,0,14
1649894400,5523982.735674319628222002,15284330.213809634179969902,9117929.467985260492732795,15428930.3877888976556898493987611,146614.79587319222117332,406676.952315366167004142,0,21
1649808000,5475269.859380371128764176,15419083.4363439967738206,9117929.467985260492732795,15299640.99334771227053473522714671,672467.6874148224221967,1879213.839718609849641584,0,43
1649721600,5637591.958464021648924384,14969635.519963620791632342,9117929.467985260492732795,15100479.35573024955658033781098078,585625.520302118176231095,1548434.153599583003145788,0,37
1649635200,5745344.962406485656788683,14684324.231880797466095492,9117929.467985260492732795,14726194.58173489487275336015622631,886843.205075865128073058,2499970.640764482922158989,0,72
1649548800,5170028.478905704308201195,16310459.384271200275882391,9117929.467985260492732795,16019788.70549847566410866845205377,441001.213620415228265803,1379134.929920477453100904,0,54
1649462400,5275087.706101373006880122,15981545.112287349599472919,9117929.467985260492732795,16015420.81246457124387084373268864,175247.375529637056393592,530585.435619067680384291,0,20
1649376000,5328241.534409171516494416,15820539.416217913027893252,9117929.467985260492732795,15468467.38477212724189435639412929,1095270.090240756507065059,3673824.835655538807291719,0,69
1649289600,4743325.922928680939423737,17759802.737986841089650943,9117929.467985260492732795,17758121.31115373406429780519456536,806426.224986352547616234,2816122.298782585277525491,0,61
1649203200,4937521.745997891680724327,17052903.8505686830081029,9117929.467985260492732795,16879088.07701905551873679280240682,946958.145561520557747823,3371021.909343725927295041,0,97
1649116800,4623426.283283601623005746,18200773.578515183833402837,9117929.467985260492732795,17629392.56984792382592845497735153,1012165.452492691740801445,3711807.564963911947251963,0,81
1649030400,5108389.293536516928533197,16462462.626401178372515842,9117929.467985260492732795,16704656.24373080637437046432050847,440377.764485022689116479,1386423.457656295139264445,0,35
1648944000,5021269.968879587213945598,16743809.960371022534955451,9117929.467985260492732795,16672955.82624506186152497103444199,494656.609455683966906356,1679705.335868270320641973,0,42
1648857600,4826931.438445678637817282,17412746.23711988236596975,9117929.467985260492732795,17339714.57425875626559204260682606,807038.77865133118911792,2938051.239913854774775561,0,80
1648771200,4891306.276072408575741106,17174924.623272597137266859,9117929.467985260492732795,17160466.40123195518457848048052642,1246755.755099855307321665,3895598.746460945310987512,0,98
1648684800,5322390.704276246874966969,15772481.125933048971022285,9117929.467985260492732795,15392106.19987161052359038068423417,878943.870532356290082578,2467041.384942762527846947,0,80
1648598400,5610472.249329407183591047,14955397.040510832026870368,9117929.467985260492732795,14917915.12463676043658777236098428,728608.006117084662727601,1850761.856479678320007655,0,59
1648512000,5629507.481649046426396318,14899163.756183594178074131,9117929.467985260492732795,14692126.68448917209131603888926963,1384344.772419417117307855,3321649.093001684893043697,0,102
1648425600,6245936.290001253105556353,13419301.985288540086236842,9117929.467985260492732795,13078132.09225240405150685282715541,193432.965005480500578654,409873.644433983819796977,0,18
1648339200,6304602.023731784147953045,13293205.186187101513391673,9117929.467985260492732795,13218072.11578061531614995493304711,112611.788415851613075032,236566.610279061243678193,0,9
1648252800,6319118.532322056033007681,13261958.246661083377172522,9117929.467985260492732795,13397547.87325777116407889452632709,111182.297960836801344263,232528.44131186384065862,0,11
1648166400,6344680.754886280379271002,13207830.548966222154801824,9117929.467985260492732795,13119565.7925380013634114133634365,648006.353942007963642481,1329929.315240914740192659,0,35
1648080000,6374055.337316972522793529,13142969.092869634030551369,9117929.467985260492732795,13060607.55021213609931916708895785,784076.640260344535102094,1623103.54187929060962846,0,39
1647993600,6249508.975976547197013277,13399944.502365586055343783,9117929.467985260492732795,13146253.94920143393061373473044277,368875.129113661723437052,798776.64542788597224183,0,27
1647907200,6082634.706359735057689501,13765120.493501774339218903,9117929.467985260492732795,13512768.61240968897725911939993134,291424.334327481744801026,664817.701052224243971811,0,25
1647820800,6063116.892022310030644603,13807439.960612302933838144,9117929.467985260492732795,13758829.81563804427179781754089708,279146.513438910127591524,632534.047094014857803601,0,28
1647734400,3133448.497784450158429773,7112543.695942781321595656,4705061.104810435934280459,7101541.077701748392286905151964944,104016.523885971706558227,239235.394586708833677682,0,12
1647648000,3103239.024311619959851858,7181064.678708428716179806,4705061.104810435934280459,7151594.351826153818642741782421107,111269.393886707082443428,264235.825913578269279547,0,15
1647561600,3053602.172452282070312188,7297000.070903450274812993,4705061.104810435934280459,7383874.47847164657631530987012264,291090.552504826250196189,670971.672661917406199271,0,22
1647475200,3085240.908676840923167807,7220146.762957853809197868,4705061.104810435934280459,7146981.239007601654422897269048184,255070.167642502975927508,602010.619707670680725908,0,21
1647388800,3175629.358826798371881409,7012895.013102262776799286,4705061.104810435934280459,7100028.908666274392668291161304747,324376.047545705346370051,724739.687907443553227296,0,43
1647302400,3099886.865586930505557824,7182034.739529457718728138,4705061.104810435934280459,7158099.353475657229776608751790383,624190.750388912475128918,1482738.425265393028171728,0,66
1647216000,3004005.739657432582762806,7406748.824011841558707726,4705061.104810435934280459,7515199.84589906246483189915188168,171203.228766671103378437,424693.983115895234004539,0,35
1647129600,2987358.578534131962517383,7446745.405495473746835537,4705061.104810435934280459,7270292.99352420046866390245491725,357030.191672121628428833,927360.593863019508359722,0,48
1647043200,2887397.334742178235684456,7701733.705035407344396615,4705061.104810435934280459,7736439.676754453397289922243018552,417785.406769082182609696,1052017.619848894434488795,0,47
1646956800,3112464.824554331692536286,7141799.822513129025520728,4705061.104810435934280459,7093951.084467664674101952322475909,229417.680004048019647111,517892.602035600288882037,0,40
1646870400,3128269.845596461503068235,7104159.313231595749797351,4705061.104810435934280459,7059878.755536469620914079873263146,164213.136843621724579562,384080.443185650002040258,0,24
1646784000,3030290.984354052670363169,7332687.812736742780698351,4705061.104810435934280459,7435529.051231986639892368368244274,273857.960199751157276965,644401.381494803091063713,0,28
1646697600,3191250.216761735423301518,6960985.517967450728234134,4705061.104810435934280459,6945619.796010218138114002538670729,270671.643710842605678006,574674.900746517819374806,0,31
1646611200,3306427.240965337233158174,6716819.07504725023258892,4705061.104810435934280459,6758858.856337198198202218971183946,716741.882531602759989546,1448478.792067645129259026,0,74
1646524800,3283334.792045536608616422,6759681.620036839233611434,4705061.104810435934280459,6477122.49380264808418666408790329,292245.616756871338461743,628307.270869409031401314,0,32
1646438400,3114121.208823441516806423,7125043.51287404545188637,4705061.104810435934280459,7101996.944650154645149266592253155,121096.9085236200643427,276677.648286645602725407,0,12
1646352000,3084800.247671438690903427,7191931.276667351217514827,4705061.104810435934280459,6997724.613323733795520697379869093,314803.33213062911459573,756904.098228184341188464,0,35
1646265600,2923614.799414577460451553,7586085.456752875051354641,4705061.104810435934280459,7484182.622854482086766073726341681,213399.634492309700707218,576120.782191159455125724,0,22
1646179200,2842507.105330811267932165,7800804.326347059350942939,4705061.104810435934280459,7760297.831646043030784922144134588,146185.828618650857751165,414829.745412362450807474,0,18
1646092800,2806369.930705798632599428,7899998.444881841833200571,4705061.104810435934280459,7885320.5790447086953911563500212,122963.392396483941335961,337718.275628334641075529,0,24
1646006400,2858287.234902348176735939,7755497.199066169744280364,4705061.104810435934280459,7938219.527288759210730036407957212,118883.248771547637206026,315065.173305767205230088,0,17
1645920000,2909514.880562643777723181,7617994.446307872529081484,4705061.104810435934280459,7616474.605230563908004933767854301,223088.815032897076116144,595632.769187048524777945,0,25
1645833600,2871902.948472573632828229,7715972.130592665623382617,4705061.104810435934280459,7556520.236534736208623431166165967,266961.394258244657399473,737965.211044015944947909,0,31
1645747200,2835592.796555005084588256,7812567.65481507046382653,4705061.104810435934280459,7664842.483826014330150675980640601,511665.348232958552113033,1293721.424553852974573301,0,51
1645660800,3091113.328641767323600819,7163052.822217126101906603,4705061.104810435934280459,7194433.041123595208986758897421491,199279.654589415663340101,447060.242539098687914513,0,19
