date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,9523864.323388000084543529,420816326.901794511006296239,63245553.20336758663997687,19032134.6018511816239190938025766,26983.689215495599085513,1192489.252269412829967429,0,7
1650067200,9550848.012603495683629042,419623837.64952509817632881,63245553.20336758663997687,19289283.45032688610489177082986876,12353.034246533091450765,541811.907241973127200073,0,4
1649980800,9538494.978356962592178277,420165649.556767071303528883,63245553.20336758663997687,19021770.47696936215065783437511698,12170.281931316239107918,536909.036788122338398887,0,5
1649894400,9546774.314950847795543699,419799655.25231336319377022,63245553.20336758663997687,19220316.10742062924182257409109416,181538.571614185362844961,7855489.10533413197931409,0,21
1649808000,9689757.240189444660484998,413581625.622355793776375446,63245553.20336758663997687,19615805.26353344252134845381901275,126184.082031088026222616,5405862.553006949096097683,0,16
1649721600,9627636.42792729153866564,416233888.207850790454141343,63245553.20336758663997687,19274630.18453522636418409715097584,243485.313513446963938848,10491870.607529602344576519,0,22
1649635200,9599386.435269551188674824,417427176.714885824556324512,63245553.20336758663997687,19066002.21408999857363881045273723,380753.639202718729146587,15972284.954946978641644744,0,44
1649548800,9980140.074472269917821411,401454891.759938845914679768,63245553.20336758663997687,19690180.22524365684437100380952365,56184.760484708695662619,2258700.345704176562066312,0,10
1649462400,9979358.176762329845212288,401479560.38599078722860418,63245553.20336758663997687,20016876.84769738190773139923699554,124495.640306675972318602,5034585.327064673631849742,0,15
1649376000,9971508.906571441905103472,401780502.09350699925806951,63245553.20336758663997687,19649534.16446293657377472275700941,187679.940439198531287483,7464159.281437303938494066,0,20
1649289600,10099903.526710954288821687,396650615.695462463290346986,63245553.20336758663997687,20138616.69771801167857362661923916,77924.166698432688370789,3061668.719662685648444569,0,9
1649203200,10139407.187646320066461336,395096088.660194708482355549,63245553.20336758663997687,20112871.43154422804429050456598996,436367.267599735078432984,16355612.511258590379821525,0,40
1649116800,10566647.86612967708452587,379073148.11989618485244768,63245553.20336758663997687,20934080.72865920102250346946249375,225444.026489202787172257,8001865.934654141936462881,0,26
1649030400,10577649.374736227339156219,378654755.291224049387967897,63245553.20336758663997687,21462613.65850094365507005606557644,603163.930705320217035897,21116045.331988987038143877,0,36
1648944000,10589045.457520971264227808,378183231.912514696207531598,63245553.20336758663997687,21430416.94679813836530182145985233,197333.133216730453019837,7083842.053887688912130299,0,23
1648857600,10580531.530887474173098317,378466316.978841843847788337,63245553.20336758663997687,21065181.95146397464776595477264398,338247.727875231294707571,12210909.156459070696101278,0,25
1648771200,10461314.615249514261383306,382742406.382812423909384781,63245553.20336758663997687,20943006.73027747191339394815824191,336810.828463120385866684,12482502.841336410592956804,0,39
1648684800,10476628.777674913516551576,382145775.604711794790297283,63245553.20336758663997687,20732085.36546968290679594412907674,436341.705696073653395426,15534454.606569185602309281,0,40
1648598400,10526072.310639424728678694,380303754.866228662561449872,63245553.20336758663997687,21000012.60769044784136929461877899,106229.921527080985867746,3848911.595528405796354641,0,11
1648512000,10448555.177815147337251554,383113580.850133818370933451,63245553.20336758663997687,20602108.25774485888049545159136929,140061.55872995914326228,5100861.164168622702019408,0,21
1648425600,10470248.56536173524404377,382304467.867430332337298259,63245553.20336758663997687,20648372.31250200877031221142610613,232697.442824752217003189,8413820.49775235829202815,0,25
1648339200,10456087.879756098230428809,382796807.429613884392230581,63245553.20336758663997687,21084926.55632425379038134753605766,264692.581819713695003975,9841392.294304736045502294,0,28
1648252800,10265757.127583859504958336,389864132.168964059953472269,63245553.20336758663997687,20703718.60205482082636035559498954,253737.278533558909221654,9738116.704372923081269292,0,17
1648166400,10286571.90272967806069606,389046272.638112851143436277,63245553.20336758663997687,20482977.40254028134722504237249243,157270.036791984876145402,5881629.359412904179960826,0,16
1648080000,10383741.483027128863597654,385388038.879997746396984533,63245553.20336758663997687,20721452.4944836925948254424279532,92580.08176155916371482,3447038.718274673378909849,0,16
1647993600,10328259.274700204513825918,387447907.197344894344198162,63245553.20336758663997687,20411125.87032047206068051073661868,54738.412728352526978816,2051128.380716596992722528,0,8
1647907200,10373143.098407921301809452,385765311.865065109227178822,63245553.20336758663997687,20446467.4858550274910837951154661,374309.864281992922026773,13926190.213128087109268231,0,36
1647820800,10261486.052276036053068871,389920631.664244493020465399,63245553.20336758663997687,20464649.3825932455719773487398985,208534.221458651676914421,7994925.804901560507214417,0,22
1647734400,10136370.78115949173096645,394709170.627479446041216344,63245553.20336758663997687,20177826.22990778380823443514391864,239324.699662714900923478,9131365.953690836023152955,0,32
1647648000,10375695.480822206631889928,385577804.673788610018063389,63245553.20336758663997687,20543701.55009865004448855403818634,386849.951994838545285367,14845885.821083413033867704,0,55
1647561600,10003666.515911694618219237,399871656.257250681608055373,63245553.20336758663997687,20353506.88568980218710537706862247,137204.549450753125102307,5515004.373375351275367375,0,16
1647475200,10014613.709212526421969784,399418053.701500275121351882,63245553.20336758663997687,20256475.45002565372899626461587913,14613.709212526421969784,581946.298499724878648118,0,3
1647388800,10000000,400000000,63245553.20336758663997687,20149958.46223720253801572311255031,0,0,0,2
