,Unnamed: 0,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,0,1651104000,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,377.06018263,5130.4840563897405,0.0115258209405593,29796252.330942225,0.09482909,1.2912074392267314,3733.213355774165,4,53318.597217800096,2757.8009255758457,5056.1540542405155,3560.8930710098975,11.199640067322495,3.35612676686034e-08,3.7587411809142567e-07,1.0,0.0,4.1095890410958905e-05,0.00026027397260275364,3.35612676686034e-08,3.7587411809142567e-07,0.00021955395630988617,0.00021955395630988617
363,1,1651017600,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,377.08024422,5130.207224371475,0.0115258209405593,29639680.570093,9.40951097,127.67998989484944,365495.02759297856,82,57819.00525076356,2771.787375074326,544048.5641815473,353901.78404016123,1096.4850827789357,3.373855523291364e-08,3.736969664549443e-05,1.0789340555651463,-0.0007210643374031545,4.1095890410958905e-05,0.0005206834302871055,3.373856791436334e-08,3.736971055051485e-05,0.000516957236521641,0.0005169572504266615
362,2,1650931200,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,379.30260395,5151.678037104639,0.011584332969401,28849620.52734553,11.61937161,156.4458640288329,453387.2929416133,102,57878.442220507015,2942.415109937576,672511.1283679846,460328.67420567735,1360.16187882484,3.4662500986872095e-08,8.451630911256625e-05,1.0174125484567205,-3.724888980660701e-05,4.1095890410958905e-05,0.0007812284435796402,3.466379631450093e-08,8.4518084872848e-05,0.0008246488622812475,0.0008246506380415292
361,3,1650844800,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,381.87571042,5116.497095930301,0.011584332969401,30796019.75026995,10.25565881,139.0390689720915,401895.3497371864,58,56473.46308398011,2947.0404169472176,579172.5692084304,409753.75579546555,1205.6860492115593,3.247172875290919e-08,0.00012366701946373072,0.9911571693027893,-9.861515972486856e-06,4.1095890410958905e-05,0.0010419090830434685,3.2474473201235896e-08,0.00012367210416707277,0.0011244802120962405,0.0011244852967995825
360,4,1650758400,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,380.86115988,5130.129831340934,0.0115848064252879,30083006.51297945,1.93502656,26.005397992001043,76544.48441293473,28,57332.16897896886,3425.722822756164,110939.26971671284,89087.2854160553,229.6334532388042,3.324135835853193e-08,0.000131300347373949,0.8656261134338477,-0.0025972567961404236,4.1095890410958905e-05,0.0013027254192784499,3.32454693872655e-08,0.0001313063761070155,0.00139292987624144,0.0013929359049745065
359,5,1650672000,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,381.15843278,5126.050612088377,0.0115848064252879,30347953.21660408,3.57933979,48.02293283958216,141787.86957577677,47,53255.247447943184,3244.9815821590846,190618.62621671899,155833.5325857068,425.3636087273303,3.2951151363080276e-08,0.00014531656802946932,0.8488566766803656,-0.00334710140028438,4.1095890410958905e-05,0.001563677522921414,3.295547805935432e-08,0.0001453244371816768,0.0016678982005399244,0.0016679060696921319
358,6,1650585600,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,381.19550713,5131.585230095556,0.011591785760739,30381435.257572617,89.82904819,1181.6306233166883,3485365.115633201,75,57163.4816900009,3518.206256000764,5134941.151439274,4157220.251234855,10456.095346899603,3.2914837351232394e-08,0.0004894772457016476,0.8403913514727911,-0.0037677441506368536,4.1095890410958905e-05,0.0018247654646456057,3.291962068144539e-08,0.0004895351298106379,0.0022731468199362944,0.0022732047040452848
357,7,1650499200,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,379.79813799,5147.148832204909,0.0115920892947225,30714873.26308459,8.63579561,116.81787115029653,359927.1917486245,53,56394.866551082625,3496.1161999898522,487014.5409883752,408408.8517768789,1079.7815752458735,3.255751672600499e-08,0.0005246322523981471,0.8343301016190716,-0.0040868678054349905,4.1095890410958905e-05,0.002085989315161463,3.2573454774181763e-08,0.0005247073461179041,0.002569525677148651,0.0025696007708684077
356,8,1650412800,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,381.24041205,5128.626023591119,0.0115935577141334,31559874.96822303,6.46849464,86.65078160553306,266916.20619447285,41,57422.003244406646,3481.118998654381,371433.920204507,301641.6820952727,800.7486185834185,3.168580360368597e-08,0.0005500046158625042,0.8531858970873838,-0.0031430451755311006,4.1095890410958905e-05,0.002347349145215949,3.170242937760447e-08,0.0005500930226477593,0.002856257870667494,0.002856346277452749
355,9,1650326400,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,382.91745712,5111.072580060576,0.0115994230138108,31710501.64779649,3.66321893,48.882490574506825,150929.23918422905,32,58862.11575936455,3906.092403713436,215624.81670955554,190939.52510767474,452.7877175526872,3.153529424122145e-08,0.0005642834097643393,0.7794307827349156,-0.0077121509123820875,4.1095890410958905e-05,0.0026088450255929985,3.1552641586550695e-08,0.0005643796712144916,0.0031320325449463787,0.003132128806396531
