date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,925.791574401053441112,96653150764.078637193,279.594646050764543765,5633151.141345251103394511919182941,20.274409834100328519,2093647830.306867191,61645.72303637490534967372287838131,85
1650067200,933.25792497543992554,95861159004.154681908,279.576466564836444625,5726613.719196941969725708473752648,140.327987012180423863,14332116082.961118201,427090.4331204989672086166712953059,171
1649980800,928.662816677785607897,96205768365.036591894,279.450894308822212528,5641438.908026962455204446586141004,95.977012054435990495,9909694975.358505755,290646.7151574974168553893492352312,158
1649894400,928.048410926980087076,96180441415.290488839,279.36485933697616993,5609393.032627018176392799564604386,63.29775994177457175,6491350758.829312113,194584.0309967076631715375982854121,150
1649808000,950.242879342878133681,93876242617.477691698,279.307386939996051707,5925737.713749295505944902061963253,74.655568159074057934,7279862407.579709474,228059.9794708567452026638855472363,120
1649721600,967.564300092681925967,92133010457.425290991,279.245006881553185847,5857332.167237023655412997752185559,113.95380488053445934,11462626997.607540287,344633.6759116545446151816912323798,151
1649635200,913.235375762011295864,97506419420.748752794,279.141590620975087807,5471291.779634324338398312562369524,126.528619406459329879,13107356030.484502451,390255.4480664828723716839672684477,196
1649548800,927.962352329862572729,95844237958.929136392,279.031757939653909501,5984148.49239672246058735527550015,426.132006603621182396,39807075468.798471253,1384353.915024826217329143723051709,306
1649462400,900.393133243231928293,98392501591.061289682,278.667009364480165336,5866357.552140051455518228072728512,59.683406741562001455,6495929308.080628287,191925.0878269302018782178376295261,221
1649376000,902.968326101107207127,98053981355.480446956,278.61241506035782939,5744197.520348851791352601862763202,252.146960099422395026,27009685639.107290825,821328.7995452119223652021025563291,191
1649289600,946.858736529186314889,93184060582.095900033,278.243333690372579903,6132637.42597371946581602777172847,135.690829897965673808,13513629480.360663364,436838.1613727792472374956505094601,170
1649203200,944.994274340508930787,93247811816.960522857,278.124418767920799622,6015780.190629388455774207857983385,196.04227956113791277,19405376438.800404976,643265.4925019580563437123728751367,216
1649116800,971.949755256656449383,90465022881.335893432,277.912859824332939485,6676957.972774515741008108331384627,364.355270069984927397,32848601243.503445937,1261848.19424948652168686239020423,306
1649030400,931.822340026745408197,94047952416.25496785,277.613775553117037709,6587896.093641912594140917009354276,507.409191825531994804,45134722287.609375088,1754181.9255517226365671764688885,240
1648944000,950.120772641074700778,91810043332.618844058,277.188651334016320136,6701688.13996375235642549135589156,624.218758965986270892,60148578547.228665434,2182210.78374961802425428741807459,346
1648857600,880.869454723441745794,98444366315.036409393,276.645385613571482218,6073893.352110960626312318095993833,421.432768489428627691,47669664909.529661146,1461942.627284406470527432655821879,338
1648771200,944.547089791346221744,91408446560.072958272,276.242436271130002268,6496655.969872001456703699833187283,112.08901228851407389,10801551330.575725254,373824.1159210123364158663016662701,188
1648684800,945.810402650480275549,91193618180.681732107,276.151117389704049801,6201964.319518124763878483399279501,169.642936245850979016,16253586881.371540682,569609.3703857522773127566106604468,274
1648598400,960.154779363423571076,89685895462.012534582,276.001590751166362657,6499029.749032073841221827263858171,76.889757839508816774,7118663024.61433483,260609.8738219011251996869854781161,211
1648512000,970.634780352430007446,88655639263.022463628,275.938277384521472188,6578908.307782496340789926396946862,141.906713705365308683,12372175084.463628515,484138.4045199520512575781682180253,279
1648425600,1026.731654761600464734,83704317949.915833468,275.820348787336942353,6872017.83417548512557372003787101,165.3462887400065395,13471843874.401444625,554793.8904467973953650905764233059,285
1648339200,1010.492137324977967136,84927568432.125029054,275.689084031653394682,6648530.975638529405248360928905179,193.440232272158726972,17574604573.713945645,618014.0526746042193003954900303577,258
1648252800,960.403181645131889348,89197951820.720536519,275.52599935219640191,6034540.658695446087952095765767389,161.930407059702473962,15053843469.934801984,505137.861713623018862090791413608,267
1648166400,996.929234311515644301,85754898653.721376786,275.31467213459642517,6184267.025589832711028367510746032,134.502060770435684628,11218934656.779451038,420857.4064441424996152845310955966,270
1648080000,1022.895799976285892506,83476257033.204089756,275.201794102225040148,6366423.371125157434543143764329305,322.791221890496139915,26329717579.910890219,984380.2041686649760055858877916803,315
1647993600,1007.654518424235542103,84501254096.547443594,274.945428599121258653,6101079.488138294309431073829739467,113.062565332903249952,9884358526.343100675,336932.4150762909762296428082817026,242
1647907200,954.429815586028430199,89122120167.311276793,274.851724520914272032,5667144.158672418577795354623912092,136.144782340742836567,13119795693.177876227,409106.3638877548233427834583418664,259
1647820800,917.242754365292602371,92610125781.325755,274.725780778640924517,5316299.431939465987643670354642226,295.951527726695154227,29481170944.282377698,859423.4660756463427372697128262631,244
1647734400,928.414304012991903703,91201359341.944458718,274.414632964151355331,5314429.795504760980314647570107706,68.079164614907181355,6593224473.430470032,196967.451056925170822129148635508,208
1647648000,953.439764135744359729,88749689905.70977986,274.355193243485115246,5617524.0187880483026161619728255,220.376467153725851805,20886080687.744297343,651434.024422543530962061527196135,260
1647561600,917.068109569764221587,92077505683.438664524,274.165269567338672122,5403628.903506863108975287074312398,146.18858641058643474,14613545224.884486495,413540.1112057216165741870011681799,205
