,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619654400,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3348464.3144477867,50076.97326776948,201237.32537672197,276172764.8218504,520905.92961715854,8011.311240106928,21936122.86283556,1402,41.23872003506712,2757.8009255758457,21481493.79608838,22093601.553043064,65808.36858850668,3.6209218553649405e-09,0.00023828696008803548,1.0,0.0,4.1095890410958905e-05,0.00026027397260275364,3.6209218553649405e-09,0.00023828696008803548,0.0004574650422798302,0.0004574650422798302
363,1619740800,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3393691.045307477,49535.98460503529,201457.5146135172,274554967.3827344,414535.2584072092,6065.744409982317,16701021.250965286,1332,40.45078996839841,2771.787375074326,16768278.67232578,16812953.776016653,50103.06375289586,3.6422579038826224e-09,0.0004207752400507554,0.9759438483096227,-7.411211504371185e-05,4.1095890410958905e-05,0.0005206834302871055,3.6431258064463954e-09,0.00042081872462823935,0.000900362779926902,0.0009004062645043859
362,1619827200,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3514875.4049199014,47892.29526305838,201554.3758982439,281841441.0744722,439967.2452794025,6118.59626852778,17594291.9787254,1443,40.09266454793365,2942.415109937576,17639459.17706553,18003450.11212381,52782.8759361762,3.5480942624607348e-09,0.0006080538593160789,0.9112104968185285,-0.0010797189743618762,4.1095890410958905e-05,0.0007812284435796402,3.549587366963124e-09,0.0006081761542432722,0.0013481864124847602,0.0013483087074119536
361,1619913600,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3378721.4217665717,48570.177502114726,198957.0472125341,286289724.52369696,558359.7249332016,7924.335659657142,23221709.75636235,1817,42.366577291537965,2947.0404169472176,23655790.442864362,23353337.46646569,69665.12926908705,3.4929650432397108e-09,0.0008513917205857756,0.9613798680840144,-0.00019387248829239034,4.1095890410958905e-05,0.0010419090830434685,3.495089381286615e-09,0.0008516620077976177,0.0018522049132182852,0.0018524752004301273
360,1620000000,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3535103.2672683126,43755.93132871497,193063.3700125136,299800649.5665988,1135597.3792027736,15300.876621868132,48934182.513289824,2202,42.403379321683055,3425.722822756164,48153166.42704436,52416562.2517099,146802.54753986947,3.335549811001515e-09,0.0013410589302869282,0.8277629497269869,-0.004449905464740667,4.1095890410958905e-05,0.0013027254192784499,3.3383905720506617e-09,0.001341746248457737,0.002602688459154419,0.002603375777325228
359,1620086400,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3621732.085626709,48258.52465050308,205118.0500184424,313193940.817466,1219574.6810412244,15370.416320444721,51785746.659330055,5575,43.238143160894595,3244.9815821590846,52732144.654262826,49876717.869960524,155357.23997799016,3.1929097906233587e-09,0.0018371005828568755,0.8910714616997275,-0.0016603443310828636,4.1095890410958905e-05,0.001563677522921414,3.1971938653565913e-09,0.0018384534630540988,0.0033596822153673304,0.0033610350955645537
358,1620172800,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3825807.0255649616,45985.83184079728,205657.5994522452,323473891.72901225,1648938.6716601509,21158.462304120905,70765946.53099447,5054,42.27524932223215,3518.206256000764,69709293.46150318,74439834.4457145,212297.83959298342,3.0914396047695318e-09,0.002493406532181634,0.803567968684307,-0.005948716399285847,4.1095890410958905e-05,0.0018247654646456057,3.097123072616743e-09,0.002495966000324216,0.004277076106416281,0.004279635574558863
357,1620259200,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3479158.99127357,40129.76004680329,183169.7822580772,280541344.4967811,485854.3549730127,5786.393713877556,20135835.622512527,1952,40.3174079138716,3496.1161999898522,19588388.21617792,20229904.80260677,60407.50686753758,3.564536991129569e-09,0.002708731324952885,0.771195487462986,-0.00837894748392054,4.1095890410958905e-05,0.002085989315161463,3.573433954266327e-09,0.0027118282364572512,0.0047536247497033885,0.0047567216612077546
356,1620345600,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3413326.654724341,38828.391671091515,178436.55549270072,270342048.11590207,333423.6649321941,3833.73597302608,13315213.85810015,1245,39.60096343866256,3481.118998654381,13203898.364564694,13345691.131525826,39945.64157430045,3.6990176221912627e-09,0.0028564909570659583,0.7607546545473803,-0.009274230079804657,4.1095890410958905e-05,0.002347349145215949,3.7090487226262743e-09,0.002859988567312897,0.005162744211870948,0.005166241822117887
355,1620432000,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3398498.5930673922,35321.46026685935,169793.62573153712,275937775.2728905,317505.4265347468,3462.838658506442,12814445.699867068,790,40.597011844550536,3906.092403713436,12889771.561740184,13526167.779277237,38443.3370996012,3.6240054447458066e-09,0.0029958098200291118,0.6950391871129431,-0.016317606221439962,4.1095890410958905e-05,0.0026088450255929985,3.634370058885659e-09,0.002999705880631336,0.005563558955211151,0.005567455015813376
