date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,6203602.295952030810923798,2186908.993054,0.126674233834051162,4374371.081132815502693442481530013,94024.818505597799005396,32922.928304,32922.78495546664651111504261416787,11
1650067200,6222094.66691767660878721,2180310.5814,0.126674233834051162,4361996.445694927032825213685571991,284392.063348505587209055,99573.066938,99560.35368405565842449331101149963,18
1649980800,6284315.874750679112969776,2196791.157253,0.12779497613236908,4388769.307388506291377300144287411,68080.072217259332634983,23886.370204,23891.77395499789027940367269377578,12
1649894400,6229577.249933601434691783,2208632.232507,0.127581724188171502,4415925.444407211514591486944224217,361813.1868825006399939,130552.684662,130542.483352386579998517690148778,22
1649808000,6320647.328727147062198698,2287955.381421,0.130809514676738977,4578450.406606950183007651601100647,350968.054948971842720461,126416.897416,126484.8788416505844825897403001229,13
1649721600,6310685.544992003321457309,2291187.446201,0.130809514676738977,4577510.505850933897586465827727926,812323.177783343394702328,300669.377265,300682.0949166784803452531430825844,32
1649635200,6252531.042126104257561221,2316754.606371,0.130955324843349159,4633830.0054049200647618071510161,479638.469296934699970023,179163.999943,179178.0104445431808449554376175522,30
1649548800,6089917.867038227331067358,2317743.310607,0.129283774203355224,4636517.548658168132954353428893458,509037.338182869235476959,200569.570305,200626.9078694671452037296028878942,23
1649462400,5953693.114877226845221273,2372267.488418,0.12934090975244262,4742358.175149884907249878712513867,460189.276220014188073127,187363.21297,187324.0558753915453794576481902288,19
1649376000,5773252.196956715353833966,2445839.487546,0.12934090975244262,4889569.264013969715414860728572437,2173348.076766165673217501,920545.265606,920490.5348360592972534201289918088,75
1649289600,5844869.718060894771071468,2436525.341067,0.129965526113809143,4866911.489612525771795070034113293,937156.764503208127737241,374486.636041,374457.618777023930012242938415273,33
1649203200,5853650.246573612592394877,2431728.186376,0.129965526113809143,4865819.470933282551475775816566353,909957.843561204918246489,390219.062738,390049.7543269272718788855125086808,37
1649116800,5630397.956638456520577247,2523897.051076,0.129886827135042956,5052369.95305508012078769835266296,7318936.57118323462794361,3422231.644745,3422193.387648542705489909986843889,214
1649030400,5905475.614183807706290136,2395918.136315,0.129862544225942298,4792876.085154555270615657236130748,2048524.660869389506573986,793998.926332,794538.644317666867000008912217447,50
1648944000,6176944.813985217446453539,2276580.505625,0.129529699342859806,4553243.325387008125137412589332207,1566802.712813866362023515,616905.606466,616990.2262003027595705111988046302,28
1648857600,6249231.725175030446272783,2235996.277408,0.129168554845906502,4468059.306110002661806563192531386,191943.948337867745823214,69126.467625,69101.62728394806893447949321764735,10
1648771200,6302590.071018071745842653,2216861.350983,0.129168554845906502,4431934.93817577904828338868324249,872294.358515387389508464,301061.306641,301071.2836663194792956017371034962,22
1648684800,6438793.100709022429436248,2116801.788383,0.127603025107289803,4233585.712997231202131822706262101,603555.848790058707192587,203460.169816,203430.8180105441515108825185457916,14
1648598400,6415258.720691035084556739,2234645.059954,0.130885308884709464,4464564.128147458178189260146500847,50534.420238772709638281,17520.078827,17509.1150881428425045952593628378,7
1648512000,6434755.58092980779419502,2227821.686103,0.130885308884709464,4460103.457414836804469184178694764,149821.378448410637434796,51125.551079,51115.68516543733341702535154561261,15
1648425600,6526922.821571945051955231,2193506.216526,0.1308047138715336,4387171.825014076340798855223939057,131735.869153934480843164,44716.970638,44689.17695844238560414341911010213,17
1648339200,6500768.447554869801113565,2220738.597288,0.131354205925808254,4437358.200616759485508189380464467,25326.388492639611258087,8659.556349,8653.6918526565592875246547269743,5
1648252800,6474613.041143853867091755,2229124.30743,0.131337731088535186,4451838.060790004211610307557630952,60599.191077668771454829,20864.039227,20871.88884765554719963591565251473,7
1648166400,6504334.093568968528814923,2217363.681066,0.13129296036371888,4434288.478767414014996566660580736,97848.210190768841539565,33579.717445,33570.66926018165326436792651209411,11
1648080000,6465718.287901618935216653,2234993.588982,0.131424977920859456,4468880.966667576113355017062302544,749356.663877725365637651,261569.554512,261491.8688942792793292332384610777,29
1647993600,6334442.044251927874217623,2300554.627045,0.132000995703254479,4596765.986243017525142879456148428,370800.398794734236431588,134030.686793,134016.6212621953706161843271777624,16
1647907200,6549451.098786675396674124,2328663.977552,0.135051640065623763,4659224.209736195776542420518279039,31943.926925923788631382,11344.843409,11343.13918845698629410287095227952,5
1647820800,6474402.173007270845914121,2311940.992626,0.133793620387454548,4626606.051706237196360502251105237,790514.043522529519646623,297223.766368,297217.8286741091755930553034350092,59
1647734400,6188842.46476479667370978,2437779.873264,0.134347833661396327,4874501.316498695250706449083213737,196248.088720933296213756,77629.541568,77624.3645472152765057426977135222,15
1647648000,6123320.531563868393501536,2475717.33617,0.134676990930719818,4953070.140256489595729607825023145,241098.501818456123957418,95020.037887,95101.4847286126664282637106895025,22
1647561600,6137410.016761819851440591,2333868.709531,0.130919978511296348,4667049.40761342915085975264518092,103193.83698143596269082,39288.816877,39282.99788837397401669052555708796,7
1647475200,6151605.378943390209677331,2331771.14531,0.131015685788364667,4660361.338609516953772278254255159,91205.461161322614321766,34721.898465,34673.20828541465322365429333180164,9
1647388800,6166083.970410769127619393,2321664.611163,0.130888138946344449,4641086.593687844159755116329522197,143799.187760608749275732,53852.441691,53847.70834399619585791887143229078,16
1647302400,6110849.081440701000858865,2309235.602612,0.129955877631228567,4620056.143231935032566187774403604,78363.588627424787253872,29911.869235,29915.2165890280112008586870622117,12
1647216000,6093568.585162329052369985,2342012.167597,0.130692246073060815,4685493.390169473508802522079245363,106954.529484398734366516,41715.193612,41714.63723494050311184321193655826,8
1647129600,5986614.055677930318003469,2383727.361209,0.130692246073060815,4767948.154155748003152778214583224,46684.891725297557147846,18679.092299,18673.01243097003692714496675987891,10
1647043200,5943555.1747741058378316,2401500.864085,0.130707502498261896,4801976.006201992316016892689656967,64106.401871470360207493,26105.6764,26103.56332180746473640626760166441,14
1646956800,5897622.185942067172236296,2435027.515751,0.131109283684489272,4873248.576880687326831706414320778,103902.92199710196313536,42960.205946,42955.38658168088779546086638106826,8
1646870400,5864563.17926132450044982,2438956.827791,0.130850204284812649,4878670.02554979108258175721596154,170910.400828891125599484,72429.272432,72431.48216437180013245604648834421,12
1646784000,5805065.213337585918507899,2464581.491514,0.130872640095755504,4929196.253558969414316022622537731,310600.176419981173020635,127643.400332,127629.1965965912558361869040098218,15
1646697600,5938921.636444852394185494,2409547.695888,0.130896946749678863,4824026.767907844115001521493372727,80925.777359251430167353,32738.790889,32768.08643062999110920523159188247,16
1646611200,5966069.49429697927247297,2391859.91156,0.13071602680394585,4782514.781312872932222616843414517,1204447.523190563037141934,503162.941039,503325.8082095864630633746913207379,34
1646524800,5634402.565838037562537278,2613036.998508,0.132814395140760148,5217887.382175375769087400634163678,144479.112199673707913402,66578.924376,66527.91345536890639505301049098904,16
1646438400,5621426.381950970539284978,2598392.398302,0.132294174095102679,5198558.051287044549710050885524783,175940.866656455994735672,82272.837048,82315.67549709135407660197060430711,13
1646352000,5530393.360342382519253065,2633641.794739,0.132111900482760833,5273323.911530890643303531492434193,119055.179941615301661121,56720.118219,56732.97773517884597433582919320919,11
1646265600,5579624.804343708249586506,2688358.253008,0.134074289217938114,5374673.290029834595833587421750463,250138.234910409461289635,121522.241275,121516.0504105826186847593071835752,11
1646179200,5517481.785312196605448431,2642997.113186,0.132204889018509907,5280802.296677835363259208546415986,61475.022112031317582904,29690.419201,29671.85381324008163770328765808862,7
1646092800,5447145.594135288348572689,2668320.577402,0.131989529327888715,5334934.334330472837646688259434095,212997.030567406051662007,101315.771561,101296.4026227585903536069222578817,20
1646006400,5631277.345482350724686837,2578328.938522,0.131927006687168928,5153988.847415624769039823311110635,317408.545159812023980893,142988.726692,143002.3597695784463174914453609471,20
1645920000,5728051.198518044641050751,2650468.466299,0.134915585904269035,5302382.760686380256991253754316087,263984.802168499933083243,125349.873804,125356.1950912874481529181061547031,17
1645833600,5555539.142114675577622678,2746056.886112,0.135252538976610117,5495190.5063989536310250279228455,48060.655318886448687637,23761.205958,23768.37166653108823980167300535553,7
1645747200,5577145.860599387863880995,2732374.01307,0.135179012328121061,5462720.159733636576084721050051329,125169.888707061947219239,60880.738945,60857.57728731604120636909581499614,9
1645660800,5458050.86630630853207428,2696223.826186,0.132844859037383274,5391800.575492008255071725021309676,200541.797478330601896702,99381.789823,99391.18079872228965516536094260504,21
1645574400,5418940.104572974121899495,2776683.373009,0.134335949839201815,5552441.793401807653171185357085448,71608.763698322949413538,36977.855718,36971.64962286187275975812092804865,11
