date,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns
1650153600,29788744696477.361767333511644704,991.321515027089702202,145476736.84011791157069166,6026479.063965728303342783350084809,1436175933600.800901831167237925,49.371964862716996246,150005.4563180771837330933183966414,50
1650067200,29241858195359.967298705901486705,1009.713510572609749356,145476736.84011791157069166,6196794.213304026239541848860589577,2737615701546.253397928112563199,93.616914136011751542,284684.9930083805010180651017337564,70
1649980800,29141211739386.358859906974476576,1012.918748680963256718,145476736.84011791157069166,6142152.332885831935504484086194798,2292695808068.549596741980080935,79.845540414005560337,240554.7258983734357037788724501283,66
1649894400,28468588708634.093446006305868225,1036.606907833528452977,145476736.84011791157069166,6264396.353927570189771945733484634,2127694906886.351274452462163038,80.567403490130603893,248055.9839035185650318355379762852,64
1649808000,27564921649277.144758160773796863,1070.345610937044876596,145476736.84011791157069166,6677763.979568254916480326608034199,2010101932743.217554416703067877,78.419019916820769242,241746.6944829067915517262945010062,71
1649721600,27675402833712.951001666093648888,1065.83957883116962503,145476736.84011791157069166,6445119.621773425098652087449814734,6105844663043.618558896413080903,238.30337500773535384,716434.2865955256023217296512998585,118
1649635200,28102038952163.513817642752483519,1048.96084201050828374,145476736.84011791157069166,6286345.104409194266556728273999833,2938830688311.53199386054109078,114.473549092901964609,357661.4388990230868727158117373896,111
1649548800,26442312031806.137088202307408153,1114.444925509746980495,145476736.84011791157069166,7178188.828113241230282197764741804,2059891789010.125855641429089386,86.337888714508576172,281397.9271327114528963033924102459,71
1649462400,26849721262907.096189055540297543,1096.86672770500785475,145449372.081748149340035807,7117777.208049483789983092891492031,3231603856162.186095678124878232,135.170461457431610288,434208.7219934079241852758739575045,93
1649376000,26515741546968.266163506661707495,1110.27786331487271526,145449372.081748149340035807,7062973.826509637394767326179841713,9135840164721.033214464152156297,424.952788088223641665,1382947.696608845224668035175344126,166
1649289600,26321037316365.358974015135681962,1116.835673878246505414,145420587.911406108442665845,7241827.707435229054697334397469059,3988294854625.016793146168715039,170.513847570658962289,547487.3228784216597604572401335297,108
1649203200,26295391024261.523969175079472758,1117.195873214047834182,145406264.355844120182976051,7120888.902331626709090541390875843,5493061138490.181798510288024272,244.930772546941657743,806521.5393467845011278510806425606,180
1649116800,25485022568249.819621996111407089,1134.096466164379625236,144273202.213933884034200377,7790042.703492613323285321229840608,10975784731541.856062283073377602,542.092012767050324888,1880668.869704959634210616973103145,221
1649030400,23496157305627.539429703650728345,1226.417087703609146031,144154926.675310285222140629,8650661.523784822809381022275259462,14864344608951.417324718506610501,805.84903139484167407,2807296.835873378009242652756284507,395
1648944000,21694998037452.756461353366486702,1325.681964429318938313,144154926.675310285222140629,9340635.108708211991414479090156082,19532881091949.102534936984824054,1048.595618803441071439,3662158.109433849226611423596087875,601
1648857600,25694944436284.968113155492286461,1121.034702957343853643,144446647.156352108976471818,7732853.74907888194558406127211071,7081726133579.276765705330659122,348.436209461575557854,1211504.350480339904937905196687771,180
1648771200,23979976007954.923649401099588373,1200.158316713824003679,144446647.156352108976471818,8259241.597160960781054154311078218,12343390681486.324748495518867391,555.931188506581367583,1862699.20172874316650049478150818,247
1648684800,26561310527680.760117110286808044,1081.940746702206058202,144446647.156352108976471818,7088725.083651547715033110686227511,17818421906148.607073625186220819,918.285718151666127263,3102592.02581294397537950040969948,496
1648598400,24507364166309.074009280483114579,1189.703475207071306892,145657305.372543237140857192,8052369.612487169617822199422190646,55394880781957.757356894447403826,2606.577799103869239632,8821909.525193916092600741832142921,698
1648512000,29012464389731.292210744701356442,999.87722095417237301,145754305.372543237140857192,6773577.908478594317579330382197733,3079108311583.629591504770854711,108.989864639888394994,371223.7930200157400808122749892048,95
1648425600,29097818792338.826458908515619051,996.62304896821722174,145754305.372543237140857192,6636315.823523733121187920425331374,2988046235033.582621215882882055,105.53373708454965168,352637.310334967916528655263025565,72
1648339200,29144987486312.086040494871594897,996.999693362614090169,145922698.495338079656114412,6557847.489451342644965513592701903,2801471161799.226924622256723591,93.258222812418222674,298658.897097909517233274891314857,73
1648252800,28886123622167.436957570208489925,1008.324460234703314293,146116698.495338079656114412,6334454.005546747006487418783906939,604615489462.567484683099138877,21.40333278360726593,66945.89592464389231372143270174161,51
1648166400,28422303823780.947236572264514402,1024.714362972710644183,146116698.495338079656114412,6356633.444159880898119461531736854,5711421542297.109228484973626654,213.189182900633238934,664492.0124398751454994263008176181,115
1648080000,27685857868061.465931967109904523,1051.573378064136981105,146133272.900895058921148936,6544314.631632700007554407962512527,1848308407782.010660659488599274,68.197943217937250767,210014.7382373788132745620210548948,150
1647993600,28161231191064.808207808188319589,1033.618177891440921726,146133272.900895058921148936,6260152.500234146152240632621012493,3711176129031.49237965559343937,126.762441404627812098,376777.7691664872672827975115096224,136
1647907200,30416270903673.184680839556737448,958.166095380207594175,146251140.393379544223530915,5712988.383955416084600639589265692,1115660485899.60476203372461174,35.310685530078270058,106205.7223308575297250498917095428,54
1647820800,30509278112491.719589394786056684,955.139735640000877617,146251140.393379544223530915,5530802.679964854698112722810253428,837529108259.489433264144224875,26.153555843801638687,75669.00995395175971409159878353285,51
1647734400,30517905085146.138784488517207724,950.419175806200709927,145915924.192278539461092454,5437945.008346696872856540532060406,1496854372276.641083301930257381,47.297880539091415684,137034.0425654683761202787905308341,61
1647648000,29830042430129.813906941548410473,973.82690990063901053,146038582.95447439197462077,5735063.843684335705796064392320522,2283788992353.787728152264154334,73.11142519943637276,215930.2162648147277773175080714348,59
1647561600,30801359338603.360042033347961683,941.645622615732252963,145941166.848476342241730589,5548582.328435444199088817370821055,1354892522986.64012566969479987,42.681259799149286445,121374.3355150758498199691814659174,48
1647475200,29944674465918.106874639714709762,967.091292575537652186,145838352.988209057734824968,5444487.414512091488813102488094047,964650029929.349373322967829742,31.377937357174163736,87354.08308670250823214707049624392,58
1647388800,29694650951165.196883260918097412,973.791593847580610511,145737534.915796626366159455,5395053.909714968437915625107371403,1784220298767.538131453168821331,60.796844708255388436,164862.6036958125155543393993449838,60
1647302400,28563311368106.438964308000350947,1009.436062876836583609,145540174.568401605329153401,5291634.685085137883511127986830352,1031265259895.307189069269629956,36.461157934776844494,94903.47598407932458274733808203705,61
1647216000,28515386509408.070089758768694783,1009.603782280379955992,145437988.467328924206309719,5226393.421209448009115997876078922,4929123852324.995039806137042654,171.13866415590851108,441484.5880726546487563243070872801,83
1647129600,30404933104859.133939583738973497,946.378644329762882026,145437988.467328924206309719,4747163.848694515650269164386702032,1192214524682.943072084312053283,37.40297861367155096,96057.15767622105505868063709152983,60
1647043200,29901490887224.879526487677249712,962.199048941417276892,145437988.467328924206309719,4970975.265765639717259965219402264,1036037300193.0022402770860898,33.623318555547630659,86963.13774441891006113745060992961,57
1646956800,29797238356020.758815221283438642,965.464784303714709943,145437988.467328924206309719,4965102.773125286691789354283392166,975136049627.479877090104598651,31.722070317800905493,82326.74325266363277271208313929625,54
1646870400,29776193075230.754805125078811133,966.05208013070161061,145437988.467328924206309719,5043709.663929293275917179507397216,4638518663897.526753262561887199,156.016026309599178864,407889.996386578462227724330962672,75
1646784000,29437894284427.618625512346758458,976.690860232379653722,145437988.467328924206309719,5327236.226689453604974735730957026,2089263090517.390928660035637913,69.85834678803474632,190057.8138902535248900550433210728,60
1646697600,29083831952804.882547893997458405,988.36995580311230593,145437988.467328924206309719,5095959.396666563361767433172446505,1612009389384.468321311824746085,54.852456592018623301,140771.5008296638997518474064778126,59
1646611200,28831380284223.279248462841853038,996.858536768573280889,145437988.467328924206309719,4993673.678112908959946041856896332,2703172892987.958008663231488915,97.692834744572237635,248915.3407905397737378088555264613,51
1646524800,28338094062629.945717712237044781,1013.92014010215418116,145437988.467328924206309719,5177542.40418239616265803276378527,6747884260986.565234213701961328,230.472096559631175297,603906.6311330739375732869763046278,86
1646438400,28393335655456.886277934739187347,1010.963308556808636265,145417569.363503138894143586,5390365.993809997612812843728910165,12476628147507.900793297973746343,443.719709652173453681,1180612.039378632151575314403948951,110
1646352000,29927782243115.562448787599207688,957.881262009663333258,145417569.363503138894143586,5013018.628539849243527251863778606,2433603819361.249774745630059544,80.042389788979434319,213871.9110196591782776510434387276,94
1646265600,29328363754154.349983233698817702,979.603662148675823865,145595032.693105526429268179,5563393.269893474044788482426714089,2692602812976.086651581256612405,93.142978833787798922,265842.8182386193073868092866032411,83
1646179200,27902955283627.098420201147785239,1029.358426261071651517,145595032.693105526429268179,6085303.604196800008752838057095909,3001366104112.420767612921529262,111.367755748831955772,330515.3729085441974554775248123175,69
