,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
364,1619654400,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2474943.887033795,16789445.192925468,5854911.343968841,33556927.56382819,540638.6529208204,3316743.000178854,0,134,6.729165684267874,1.0067408359529384,3638047.0708235945,3339100.6206411165,0.0,2.9800106046595388e-08,0.0,1.0,0.0,4.1095890410958905e-05,0.00026027397260275364,2.9800106046595388e-08,0.0,0.00021917808219179473,0.00021917808219179473
363,1619740800,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2507063.979961501,16808657.23945997,5894670.431174178,33727847.63605773,418793.53688837733,2810649.4940320016,0,117,6.704953955238762,1.0065110405048499,2807991.381588156,2828949.7467325795,0.0,2.96490902944818e-08,0.0,0.9966294590888811,-1.4248677943085042e-06,4.1095890410958905e-05,0.0005206834302871055,2.96490902944818e-08,0.0,0.0004795875398761466,0.0004795875398761466
362,1619827200,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2600532.676989286,16564315.613880856,5959055.473671057,33217077.419407044,198255.9659769328,1301709.3884559523,0,67,6.347926691554185,1.0087399332626652,1258514.33818483,1313086.241638442,0.0,3.010499651651325e-08,0.0,0.94147578102724,-0.0004544394173904287,4.1095890410958905e-05,0.0007812284435796402,3.010499651651325e-08,0.0,0.0007401325531686812,0.0007401325531686812
361,1619913600,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2640794.6990501536,16444227.30705732,5982554.152669784,32899547.03506266,189402.5482475068,1183814.1663492096,0,60,6.236607275134281,0.999131628141581,1181229.3103293725,1182786.1754415543,0.0,3.039555526202993e-08,0.0,0.9338608165911514,-0.0005850113415845071,4.1095890410958905e-05,0.0010419090830434685,3.039555526202993e-08,0.0,0.0010008131926325097,0.0010008131926325097
360,1620000000,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2459679.7635932043,17757996.397783108,5998277.700722024,36092743.5222485,468840.75879103155,3268973.8539643656,0,108,7.37230826590296,1.0113317779407869,3456438.601427338,3306017.139771728,0.0,2.770640030131193e-08,0.0,1.0906020161777026,-0.0009395222324751762,4.1095890410958905e-05,0.0013027254192784499,2.770640030131193e-08,0.0,0.001261629528867491,0.001261629528867491
359,1620086400,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2464757.712484933,17745042.859416552,6000002.06869676,35421528.22120024,631720.1186048564,4422517.277455062,0,155,7.244287581671037,0.9899167148810872,4576362.210300916,4377923.774803164,0.0,2.823141886355674e-08,0.0,1.0948471407991318,-0.0010255021060244784,4.1095890410958905e-05,0.001563677522921414,2.823141886355674e-08,0.0,0.001522581632510455,0.001522581632510455
358,1620172800,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2424306.9592193644,17847530.684947055,5966407.572839401,35941326.87848693,357227.8442660216,2623409.238596524,0,103,7.424498197364805,1.0052967296499162,2652237.485801593,2637304.7280944623,0.0,2.782312415401004e-08,0.0,1.1049160950696038,-0.0012429528374795495,4.1095890410958905e-05,0.0018247654646456057,2.782312415401004e-08,0.0,0.001783669574234647,0.001783669574234647
357,1620259200,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2579198.0295110694,16734168.920071818,5957898.800718266,33493649.320418604,314043.55944741424,2147046.581344789,0,78,6.464867410474445,0.9986813606632065,2030249.9729409823,2144215.4012646996,0.0,2.985640622296639e-08,0.0,0.9684766212873585,-0.0001282338990130638,4.1095890410958905e-05,0.002085989315161463,2.985640622296639e-08,0.0,0.0020448934247505038,0.0020448934247505038
356,1620345600,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2616140.964385575,16602798.69920433,5976368.939715409,33495887.259191945,129783.68287503687,829658.2418189372,0,45,6.429901379161975,1.0043101266418473,834496.2815109199,833234.1739106292,0.0,2.985441144645541e-08,0.0,0.9578399207142508,-0.00023188296167031552,4.1095890410958905e-05,0.002347349145215949,2.985441144645541e-08,0.0,0.00230625325480499,0.00230625325480499
355,1620432000,FXS,FRAX,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0x853d955acef822db058eb8505911ed77f175b99e,2589631.6099657062,16775612.417685725,5976368.939715409,33113752.57420753,148416.11577610628,944848.850047174,0,26,6.315072556287344,0.9990717862287742,937258.5396484538,943971.8283328334,0.0,3.019893313990952e-08,0.0,0.9456667373090746,-0.0003899863068345111,4.1095890410958905e-05,0.0026088450255929985,3.019893313990952e-08,0.0,0.0025677491351820394,0.0025677491351820394
