token0,token1,reserveUSD,pairAddress
USDC,WETH,275861787.9978374101199333490313538,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
WISE,WETH,228734302.749279199988892365436499,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e
FEI,TRIBE,173903306.0341324121671378100151692,0x9928e4046d7c6513326ccea028cd3e7a91c7590a
WETH,USDT,141046605.4620006130403958532986763,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
FXS,FRAX,137591753.7852622544666489750811799,0xe1573b9d29e2183b1af0e743dc2754979a40d237
DAI,USDC,94583260.27551710877422918427345751,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5
TOKE,WETH,72525115.32514769349755943244435144,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688
MC,WETH,52781178.11885098160639648849119273,0xccb63225a7b19dcf66717e4d40c9a72b39331d61
HANU,MIA,44980101.72263702713752841112019656,0x48918f57fa7210ea7b20f23da8420e68df3578fe
UNI,WETH,35055809.72409710259698733482322279,0xd3d2e2692501a5c9ca623199d38826e513033a17
USDC,USDT,33433420.97112912530844771223215401,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
WBTC,WETH,30883580.09316958595679358243270524,0xbb2b8038a1640196fbe3e38816f3e67cba72d940
FNK,USDT,29783537.97621536917427110283117348,0x61b62c5d56ccd158a38367ef2f539668a06356ab
PAXG,WETH,29439810.17282909028842178114008973,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c
WETH,FOX,26460608.41851993384343555558356572,0x470e8de2ebaef52014a47cb5e6af86884947f08c
ELON,WETH,24662820.58719949794080731917305537,0x7b73644935b8e68019ac6356c40661e1bc315860
DAI,WETH,24388495.74173720006334296433735682,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
XXi,WETH,22782109.03689841305557119793439761,0x0af81cd5d9c124b4859d65697a4cd10ee223746a
ASTO,USDC,19959797.16770729775614661216507559,0x11181bd3baf5ce2a478e98361985d42625de35d1
WETH,SUPER,19055416.37403813185440108447725678,0x25647e01bd0967c1b9599fa3521939871d1d0888
FRAX,AMP,18866439.62550560126739643800622884,0xab400c46c830a2f87939dcfdcbfaaadf76f35721
WAXE,WETH,15333970.16032893679203539809128906,0x0ee0cb563a52ae1170ac34fbb94c50e89adde4bd
SHINJA,WETH,15119978.98190352923760373798111698,0x63b61e73d3fa1fb96d51ce457cabe89fffa7a1f1
SYN,FRAX,14862092.19581409737536066873543542,0x9fae36a18ef8ac2b43186ade5e2b07403dc742b1
FLX,WETH,14525828.60347985362543115366094224,0xd6f3768e62ef92a9798e5a8cedd2b78907cecef9
XMON,WETH,13293925.11548486871964828335772142,0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9
UFO,WETH,12396480.50626848131896955332432527,0x97e1fcb93ae7267dbafad23f7b9afaa08264cfd8
WETH,RLY,12018150.95652133225559298989012547,0x27fd0857f0ef224097001e87e61026e39e1b04d1
