,token0,token1,pairAddress,reserveUSD,dailyVolumeUSD,pairReward,pairCumRew,deltaRewards,deltaCumRew
0,USDC,WETH,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,270710250.03823155,3272809.055024941,0.00017100915567435493,0.00017100915567436203,0.0004312831282771086,0.0004312831282771157
1,FEI,TRIBE,0x9928e4046d7c6513326ccea028cd3e7a91c7590a,159937113.69543457,0.0,0.0,0.0,0.00026027397260275364,0.00026027397260275364
2,WETH,USDT,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,137773569.32672465,923367.3471216662,0.0002070911929976755,0.00020709119299766598,0.00046736516560042917,0.00046736516560041963
3,FXS,FRAX,0xe1573b9d29e2183b1af0e743dc2754979a40d237,135663008.7516456,0.0,0.0,0.0,0.00026027397260275364,0.00026027397260275364
4,DAI,USDC,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,85942032.00011075,8550.8725244924,3.382444964952142e-05,3.3824449649610955e-05,0.00029409842225227504,0.0002940984222523646
5,MC,WETH,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,49967967.985718176,135659.14517317,0.0,0.0,0.00026027397260275364,0.00026027397260275364
6,TOKE,WETH,0x5fa464cefe8901d66c09b85d5fcdc55b3738c688,35771371.67885197,3591.785263609699,0.0005951867413492964,0.0005951867413493961,0.0008554607139520501,0.0008554607139521497
7,USDC,USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,33831767.644428454,156320.34817504397,3.540324787806949e-05,3.540324787798532e-05,0.00029567722048082316,0.00029567722048073897
8,UNI,WETH,0xd3d2e2692501a5c9ca623199d38826e513033a17,32975490.71458486,74389.5074646815,5.372110038966165e-05,5.3721100389703125e-05,0.0003139950729924153,0.00031399507299245677
9,WBTC,WETH,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,29584963.5764394,38289.58356156993,5.1376892994285035e-05,5.137689299439252e-05,0.00031165086559703867,0.00031165086559714616
